"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,27,NA,NA,NA,27,NA,NA,NA
2020-03-22,34,NA,NA,NA,34,NA,NA,NA
2020-03-29,41,NA,NA,NA,41,NA,NA,NA
2020-04-05,89,NA,NA,NA,89,NA,NA,NA
2020-04-12,236,NA,NA,NA,236,NA,NA,NA
2020-04-19,619,NA,NA,NA,619,NA,NA,NA
2020-04-26,1212,NA,NA,NA,1212,NA,NA,NA
2020-05-03,1829,NA,NA,NA,1829,NA,NA,NA
2020-05-10,2249,NA,NA,NA,2249,NA,NA,NA
2020-05-17,2554,NA,NA,NA,2554,NA,NA,NA
2020-05-24,2782,NA,NA,NA,2782,NA,NA,NA
2020-05-31,2938,NA,NA,NA,2938,NA,NA,NA
2020-06-07,3050,NA,NA,NA,3050,NA,NA,NA
2020-06-14,3135,NA,NA,NA,3135,NA,NA,NA
2020-06-21,3214,NA,NA,NA,3214,NA,NA,NA
2020-06-28,3285,NA,NA,NA,3285,NA,NA,NA
2020-07-05,3331,NA,NA,NA,3331,NA,NA,NA
2020-07-12,3385,NA,NA,NA,3385,NA,NA,NA
2020-07-19,3427,NA,NA,NA,3427,NA,NA,NA
2020-07-26,3461,NA,NA,NA,3461,NA,NA,NA
2020-08-02,3502,NA,NA,NA,3502,NA,NA,NA
2020-08-09,3549,NA,NA,NA,3549,NA,NA,NA
2020-08-16,3584,NA,NA,NA,3584,NA,NA,NA
2020-08-23,3622,NA,NA,NA,3622,NA,NA,NA
2020-08-30,3658,NA,NA,NA,3658,NA,NA,NA
2020-09-06,3711,NA,NA,NA,3711,NA,NA,NA
2020-09-13,3757,NA,NA,NA,3757,NA,NA,NA
2020-09-20,3806,NA,NA,NA,3806,NA,NA,NA
2020-09-27,3860,NA,NA,NA,3860,NA,NA,NA
2020-10-04,3917,NA,NA,NA,3917,NA,NA,NA
2020-10-11,3995,NA,NA,NA,3995,NA,NA,NA
2020-10-18,4063,NA,NA,NA,4063,NA,NA,NA
2020-10-25,4127,NA,NA,NA,4127,NA,NA,NA
2020-11-01,4207,NA,NA,NA,4207,NA,NA,NA
2020-11-08,4272,NA,NA,NA,4272,NA,NA,NA
2020-11-15,4338,NA,NA,NA,4338,NA,NA,NA
2020-11-22,4400,NA,NA,NA,4400,NA,NA,NA
2020-11-29,4469,NA,NA,NA,4469,NA,NA,NA
2020-12-06,4541,NA,NA,NA,4541,NA,NA,NA
2020-12-13,4606,NA,NA,NA,4606,NA,NA,NA
2020-12-20,4723,NA,NA,NA,4723,NA,NA,NA
2020-12-27,4828,NA,NA,NA,4828,NA,NA,NA
2021-01-03,5031,NA,NA,NA,5031,NA,NA,NA
2021-01-10,5585,NA,NA,NA,5585,NA,NA,NA
2021-01-17,6477,NA,NA,NA,6477,NA,NA,NA
2021-01-24,7350,NA,NA,NA,7350,NA,NA,NA
2021-01-31,8146,NA,NA,NA,8146,NA,NA,NA
2021-02-07,8818,NA,NA,NA,8818,NA,NA,NA
2021-02-14,9384,NA,NA,NA,9384,NA,NA,NA
2021-02-21,9800,NA,NA,NA,9800,NA,NA,NA
2021-02-28,10114,NA,NA,NA,10114,NA,NA,NA
2021-03-07,10320,NA,NA,NA,10320,NA,NA,NA
2021-03-14,10481,NA,NA,NA,10481,NA,NA,NA
2021-03-21,10614,NA,NA,NA,10614,NA,NA,NA
2021-03-28,10708,NA,NA,NA,10708,NA,NA,NA
2021-04-04,10780,NA,NA,NA,10780,NA,NA,NA
2021-04-11,10852,NA,NA,NA,10852,NA,NA,NA
2021-04-18,10924,NA,NA,NA,10924,NA,NA,NA
2021-04-25,10999,NA,NA,NA,10999,NA,NA,NA
2021-05-02,11062,NA,NA,NA,11062,NA,NA,NA
2021-05-09,11101,NA,NA,NA,11101,NA,NA,NA
2021-05-16,11140,NA,NA,NA,11140,NA,NA,NA
2021-05-23,11179,NA,NA,NA,11179,NA,NA,NA
2021-05-30,11221,NA,NA,NA,11221,NA,NA,NA
2021-06-06,11264,NA,NA,NA,11264,NA,NA,NA
2021-06-13,11300,NA,NA,NA,11300,NA,NA,NA
2021-06-20,11348,NA,NA,NA,11348,NA,NA,NA
2021-06-27,11384,NA,NA,NA,11384,NA,NA,NA
2021-07-04,11425,NA,NA,NA,11425,NA,NA,NA
2021-07-11,11460,NA,NA,NA,11460,NA,NA,NA
2021-07-18,11501,NA,NA,NA,11501,NA,NA,NA
2021-07-25,11544,NA,NA,NA,11544,NA,NA,NA
2021-08-01,11575,NA,NA,NA,11575,NA,NA,NA
2021-08-08,11610,NA,NA,NA,11610,NA,NA,NA
2021-08-15,11643,NA,NA,NA,11643,NA,NA,NA
2021-08-22,11669,NA,NA,NA,11669,NA,NA,NA
2021-08-29,11700,NA,NA,NA,11700,NA,NA,NA
2021-09-05,11723,NA,NA,NA,11723,NA,NA,NA
2021-09-12,11740,NA,NA,NA,11740,NA,NA,NA
2021-09-19,11756,NA,NA,NA,11756,NA,NA,NA
2021-09-26,11763,NA,NA,NA,11763,NA,NA,NA
2021-10-03,11776,NA,NA,NA,11776,NA,NA,NA
2021-10-10,11791,NA,NA,NA,11791,NA,NA,NA
2021-10-17,11805,NA,NA,NA,11805,NA,NA,NA
2021-10-24,11810,NA,NA,NA,11810,NA,NA,NA
2021-10-31,11817,NA,NA,NA,11817,NA,NA,NA
2021-11-07,11825,NA,NA,NA,11825,NA,NA,NA
2021-11-14,11831,NA,NA,NA,11831,NA,NA,NA
2021-11-21,11843,NA,NA,NA,11843,NA,NA,NA
2021-11-28,11850,NA,NA,NA,11850,NA,NA,NA
2021-12-05,11859,NA,NA,NA,11859,NA,NA,NA
2021-12-12,11865,NA,NA,NA,11865,NA,NA,NA
2021-12-19,11891,NA,NA,NA,11891,NA,NA,NA
2021-12-26,11934,NA,NA,NA,11934,NA,NA,NA
2022-01-02,11955,NA,NA,NA,11955,NA,NA,NA
2022-01-09,11978,NA,NA,NA,11978,NA,NA,NA
2022-01-16,12009,NA,NA,NA,12009,NA,NA,NA
2022-01-23,12078,NA,NA,NA,12078,NA,NA,NA
2022-01-30,12172,NA,NA,NA,12172,NA,NA,NA
2022-02-06,12277,NA,NA,NA,12277,NA,NA,NA
2022-02-13,12326,NA,NA,NA,12326,NA,NA,NA
2022-02-20,12367,NA,NA,NA,12367,NA,NA,NA
2022-02-27,12397,NA,NA,NA,12397,NA,NA,NA
2022-03-06,12410,NA,NA,NA,12410,NA,NA,NA
2022-03-13,12421,NA,NA,NA,12421,NA,NA,NA
2022-03-20,12431,NA,NA,NA,12431,NA,NA,NA
2022-03-27,12439,NA,NA,NA,12439,NA,NA,NA
2022-04-03,12450,NA,NA,NA,12450,NA,NA,NA
2022-04-10,12456,NA,NA,NA,12456,NA,NA,NA
2022-04-17,12461,NA,NA,NA,12461,NA,NA,NA
2022-04-24,12467,NA,NA,NA,12467,NA,NA,NA
2022-05-01,12470,NA,NA,NA,12470,NA,NA,NA
2022-05-08,12480,NA,NA,NA,12480,NA,NA,NA
2022-05-15,12486,NA,NA,NA,12486,NA,NA,NA
2022-05-22,12492,NA,NA,NA,12492,NA,NA,NA
2022-05-29,12504,NA,NA,NA,12504,NA,NA,NA
2022-06-05,12510,NA,NA,NA,12510,NA,NA,NA
2022-06-12,12522,NA,NA,NA,12522,NA,NA,NA
2022-06-19,12530,NA,NA,NA,12530,NA,NA,NA
2022-06-26,12538,NA,NA,NA,12538,NA,NA,NA
2022-07-03,12551,NA,NA,NA,12552,NA,NA,NA
2022-07-10,12562,NA,NA,NA,12563,NA,NA,NA
2022-07-17,12571,NA,NA,NA,12572,NA,NA,NA
2022-07-24,12582,NA,NA,NA,12581,NA,NA,NA
2022-07-31,12594,NA,NA,NA,12590,NA,NA,NA
2022-08-07,12605,12605,12595,12636,12594,12594,12594,12594
2022-08-14,NA,12617,12603,12654,NA,12594,12594,12594
