"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,9,NA,9,NA,NA,NA
2020-03-22,32,NA,32,NA,NA,NA
2020-03-29,28,NA,28,NA,NA,NA
2020-04-05,26,NA,26,NA,NA,NA
2020-04-12,16,NA,16,NA,NA,NA
2020-04-19,25,NA,25,NA,NA,NA
2020-04-26,24,NA,24,NA,NA,NA
2020-05-03,31,NA,31,NA,NA,NA
2020-05-10,38,NA,38,NA,NA,NA
2020-05-17,54,NA,54,NA,NA,NA
2020-05-24,79,NA,79,NA,NA,NA
2020-05-31,127,NA,127,NA,NA,NA
2020-06-07,200,NA,200,NA,NA,NA
2020-06-14,228,NA,228,NA,NA,NA
2020-06-21,247,NA,247,NA,NA,NA
2020-06-28,264,NA,264,NA,NA,NA
2020-07-05,342,NA,342,NA,NA,NA
2020-07-12,317,NA,317,NA,NA,NA
2020-07-19,299,NA,299,NA,NA,NA
2020-07-26,252,NA,252,NA,NA,NA
2020-08-02,249,NA,249,NA,NA,NA
2020-08-09,248,NA,248,NA,NA,NA
2020-08-16,251,NA,251,NA,NA,NA
2020-08-23,238,NA,238,NA,NA,NA
2020-08-30,180,NA,180,NA,NA,NA
2020-09-06,215,NA,215,NA,NA,NA
2020-09-13,185,NA,185,NA,NA,NA
2020-09-20,164,NA,164,NA,NA,NA
2020-09-27,168,NA,168,NA,NA,NA
2020-10-04,131,NA,131,NA,NA,NA
2020-10-11,111,NA,111,NA,NA,NA
2020-10-18,79,NA,79,NA,NA,NA
2020-10-25,53,NA,53,NA,NA,NA
2020-11-01,50,NA,50,NA,NA,NA
2020-11-08,51,NA,51,NA,NA,NA
2020-11-15,60,NA,60,NA,NA,NA
2020-11-22,65,NA,65,NA,NA,NA
2020-11-29,59,NA,59,NA,NA,NA
2020-12-06,102,NA,102,NA,NA,NA
2020-12-13,89,NA,89,NA,NA,NA
2020-12-20,121,NA,121,NA,NA,NA
2020-12-27,157,NA,157,NA,NA,NA
2021-01-03,234,NA,234,NA,NA,NA
2021-01-10,229,NA,229,NA,NA,NA
2021-01-17,231,NA,231,NA,NA,NA
2021-01-24,209,NA,209,NA,NA,NA
2021-01-31,207,NA,207,NA,NA,NA
2021-02-07,197,NA,197,NA,NA,NA
2021-02-14,197,NA,197,NA,NA,NA
2021-02-21,280,NA,280,NA,NA,NA
2021-02-28,397,NA,397,NA,NA,NA
2021-03-07,531,NA,531,NA,NA,NA
2021-03-14,525,NA,525,NA,NA,NA
2021-03-21,524,NA,524,NA,NA,NA
2021-03-28,436,NA,436,NA,NA,NA
2021-04-04,420,NA,420,NA,NA,NA
2021-04-11,394,NA,394,NA,NA,NA
2021-04-18,444,NA,444,NA,NA,NA
2021-04-25,371,NA,371,NA,NA,NA
2021-05-02,411,NA,411,NA,NA,NA
2021-05-09,448,NA,448,NA,NA,NA
2021-05-16,533,NA,533,NA,NA,NA
2021-05-23,501,NA,501,NA,NA,NA
2021-05-30,482,NA,482,NA,NA,NA
2021-06-06,465,NA,465,NA,NA,NA
2021-06-13,374,NA,374,NA,NA,NA
2021-06-20,289,NA,289,NA,NA,NA
2021-06-27,199,NA,199,NA,NA,NA
2021-07-04,194,NA,194,NA,NA,NA
2021-07-11,193,NA,193,NA,NA,NA
2021-07-18,195,NA,195,NA,NA,NA
2021-07-25,179,NA,179,NA,NA,NA
2021-08-01,181,NA,181,NA,NA,NA
2021-08-08,133,NA,133,NA,NA,NA
2021-08-15,105,NA,105,NA,NA,NA
2021-08-22,59,NA,59,NA,NA,NA
2021-08-29,66,NA,66,NA,NA,NA
2021-09-05,58,NA,58,NA,NA,NA
2021-09-12,66,NA,66,NA,NA,NA
2021-09-19,52,NA,52,NA,NA,NA
2021-09-26,46,NA,46,NA,NA,NA
2021-10-03,49,NA,49,NA,NA,NA
2021-10-10,35,NA,35,NA,NA,NA
2021-10-17,20,NA,20,NA,NA,NA
2021-10-24,21,NA,21,NA,NA,NA
2021-10-31,18,NA,18,NA,NA,NA
2021-11-07,17,NA,17,NA,NA,NA
2021-11-14,13,NA,13,NA,NA,NA
2021-11-21,13,NA,13,NA,NA,NA
2021-11-28,15,NA,15,NA,NA,NA
2021-12-05,15,NA,15,NA,NA,NA
2021-12-12,13,NA,13,NA,NA,NA
2021-12-19,7,NA,7,NA,NA,NA
