"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-30,1,NA,1,1,NA,NA
2020-04-01,1,NA,1,1,NA,NA
2020-04-02,1,NA,1,1.25,NA,NA
2020-04-10,1,NA,1,1.22222222222222,NA,NA
2020-04-18,1,NA,1,1.2,NA,NA
2020-04-22,1,NA,1,1.3,NA,NA
2020-04-24,1,NA,1,1.4,NA,NA
2020-04-27,3,NA,3,1.4,NA,NA
2020-04-28,1,NA,1,1.5,NA,NA
2020-04-29,1,NA,1,1.6,NA,NA
2020-04-30,2,NA,2,1.8,NA,NA
2020-05-02,2,NA,2,1.9,NA,NA
2020-05-03,1,NA,1,2.2,NA,NA
2020-05-08,2,NA,2,2.6,NA,NA
2020-05-09,2,NA,2,2.7,NA,NA
2020-05-10,3,NA,3,2.8,NA,NA
2020-05-11,2,NA,2,2.8,NA,NA
2020-05-12,6,NA,6,3.1,NA,NA
2020-05-13,5,NA,5,3.2,NA,NA
2020-05-14,2,NA,2,3.1,NA,NA
2020-05-15,3,NA,3,2.9,NA,NA
2020-05-16,2,NA,2,3.1,NA,NA
2020-05-17,4,NA,4,2.8,NA,NA
2020-05-18,NA,3,3,3,3,3
2020-05-19,NA,1,1,3.3,1,1
2020-05-20,NA,1,1,3.7,1,1
2020-05-21,NA,4,4,3.9,4,4
2020-05-22,NA,3,3,4.2,3,3
2020-05-23,NA,7,7,4.2,7,7
2020-05-24,NA,5,5,4.7,5,5
2020-05-25,NA,7,7,4.8,7,7
2020-05-26,NA,4,4,5.1,4,4
2020-05-27,NA,7,7,5.8,7,7
2020-05-28,NA,3,3,6.2,3,3
2020-05-29,NA,6,6,5.8,6,7
2020-05-30,NA,2,2,5.6,2,3
2020-05-31,NA,7,7,6.1,7,9
2020-06-01,NA,10,10,6.3,10,12
2020-06-02,NA,11,11,6.9,11,14
2020-06-03,NA,1,1,6.8,1,4
2020-06-04,NA,5,5,7.4,5,8
2020-06-05,NA,9,9,7.5,8,11
2020-06-06,NA,9,9,7.3,8,11
2020-06-07,NA,9,9,6.8,8,11
2020-06-08,NA,5,5,7.1,4,7
2020-06-09,NA,8,8,7.2,7,10
2020-06-10,NA,8,8,6.9,7,11
2020-06-11,NA,8,8,6.4,7,11
2020-06-12,NA,6,6,6.1,5,9
2020-06-13,NA,4,4,6.3,3,7
2020-06-14,NA,6,6,6,5,9
2020-06-15,NA,6,6,5.4,5,9
2020-06-16,NA,4,4,5.3,3,7
2020-06-17,NA,6,6,5.2,5,9
2020-06-18,NA,7,7,5.2,6,11
2020-06-19,NA,5,5,5.3,4,9
2020-06-20,NA,2,2,5.4,1,6
2020-06-21,NA,7,7,5.55555555555556,5,10
2020-06-22,NA,5,5,5.5,3,9
2020-06-23,NA,4,4,5.28571428571429,1,8
2020-06-24,NA,7,7,5.33333333333333,3,12
2020-06-25,NA,7,7,6,3,14
