"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,46,NA,NA,NA,46,NA,NA,NA
2020-03-22,123,NA,NA,NA,123,NA,NA,NA
2020-03-29,203,NA,NA,NA,203,NA,NA,NA
2020-04-05,260,NA,NA,NA,260,NA,NA,NA
2020-04-12,302,NA,NA,NA,302,NA,NA,NA
2020-04-19,359,NA,NA,NA,359,NA,NA,NA
2020-04-26,437,NA,NA,NA,437,NA,NA,NA
2020-05-03,514,NA,NA,NA,514,NA,NA,NA
2020-05-10,610,NA,NA,NA,610,NA,NA,NA
2020-05-17,735,NA,NA,NA,735,NA,NA,NA
2020-05-24,897,NA,NA,NA,897,NA,NA,NA
2020-05-31,1045,NA,NA,NA,1045,NA,NA,NA
2020-06-07,1299,NA,NA,NA,1299,NA,NA,NA
2020-06-14,1621,NA,NA,NA,1621,NA,NA,NA
2020-06-21,2108,NA,NA,NA,2108,NA,NA,NA
2020-06-28,2632,NA,NA,NA,2632,NA,NA,NA
2020-07-05,3460,NA,NA,NA,3460,NA,NA,NA
2020-07-12,4425,NA,NA,NA,4425,NA,NA,NA
2020-07-19,5493,NA,NA,NA,5493,NA,NA,NA
2020-07-26,6489,NA,NA,NA,6489,NA,NA,NA
2020-08-02,7276,NA,NA,NA,7276,NA,NA,NA
2020-08-09,7961,NA,NA,NA,7961,NA,NA,NA
2020-08-16,8511,NA,NA,NA,8511,NA,NA,NA
2020-08-23,8978,NA,NA,NA,8978,NA,NA,NA
2020-08-30,9389,NA,NA,NA,9389,NA,NA,NA
2020-09-06,9688,NA,NA,NA,9688,NA,NA,NA
2020-09-13,10006,NA,NA,NA,10006,NA,NA,NA
2020-09-20,10261,NA,NA,NA,10261,NA,NA,NA
2020-09-27,10506,NA,NA,NA,10506,NA,NA,NA
2020-10-04,10787,NA,NA,NA,10787,NA,NA,NA
2020-10-11,11113,NA,NA,NA,11113,NA,NA,NA
2020-10-18,11534,NA,NA,NA,11534,NA,NA,NA
2020-10-25,12080,NA,NA,NA,12080,NA,NA,NA
2020-11-01,12738,NA,NA,NA,12738,NA,NA,NA
2020-11-08,13677,NA,NA,NA,13677,NA,NA,NA
2020-11-15,14887,NA,NA,NA,14887,NA,NA,NA
2020-11-22,16293,NA,NA,NA,16293,NA,NA,NA
2020-11-29,17592,NA,NA,NA,17592,NA,NA,NA
2020-12-06,18903,NA,NA,NA,18903,NA,NA,NA
2020-12-13,19923,NA,NA,NA,19923,NA,NA,NA
2020-12-20,20761,NA,NA,NA,20761,NA,NA,NA
2020-12-27,21567,NA,NA,NA,21567,NA,NA,NA
2021-01-03,22399,NA,NA,NA,22399,NA,NA,NA
2021-01-10,23190,NA,NA,NA,23190,NA,NA,NA
2021-01-17,23840,NA,NA,NA,23840,NA,NA,NA
2021-01-24,24509,NA,NA,NA,24509,NA,NA,NA
2021-01-31,25226,NA,NA,NA,25226,NA,NA,NA
2021-02-07,26494,NA,NA,NA,26494,NA,NA,NA
2021-02-14,28238,NA,NA,NA,28238,NA,NA,NA
2021-02-21,30666,NA,NA,NA,30666,NA,NA,NA
2021-02-28,33301,NA,NA,NA,33301,NA,NA,NA
2021-03-07,36135,NA,NA,NA,36135,NA,NA,NA
2021-03-14,38626,NA,NA,NA,38626,NA,NA,NA
2021-03-21,40735,NA,NA,NA,40735,NA,NA,NA
2021-03-28,42327,NA,NA,NA,42327,NA,NA,NA
2021-04-04,43904,NA,NA,NA,43885,NA,NA,NA
2021-04-11,45433,NA,NA,NA,45363,NA,NA,NA
2021-04-18,46769,NA,NA,NA,46613,NA,NA,NA
2021-04-25,48185,NA,NA,NA,47896,NA,NA,NA
2021-05-02,49522,NA,NA,NA,49063,NA,NA,NA
2021-05-09,50761,NA,NA,NA,50074,NA,NA,NA
2021-05-16,52079,NA,NA,NA,50963,NA,NA,NA
2021-05-23,53315,NA,NA,NA,51305,NA,NA,NA
2021-05-30,54555,54555,54076,55052,51342,51342,51342,51342
2021-06-06,NA,55841,55221,56479,NA,51381,51377,51386
