"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,10,NA,NA,NA,10,NA,NA,NA
2020-03-22,23,NA,NA,NA,23,NA,NA,NA
2020-03-29,37,NA,NA,NA,37,NA,NA,NA
2020-04-05,50,NA,NA,NA,50,NA,NA,NA
2020-04-12,67,NA,NA,NA,67,NA,NA,NA
2020-04-19,78,NA,NA,NA,78,NA,NA,NA
2020-04-26,92,NA,NA,NA,92,NA,NA,NA
2020-05-03,111,NA,NA,NA,111,NA,NA,NA
2020-05-10,125,NA,NA,NA,125,NA,NA,NA
2020-05-17,142,NA,NA,NA,142,NA,NA,NA
2020-05-24,173,NA,NA,NA,173,NA,NA,NA
2020-05-31,193,NA,NA,NA,193,NA,NA,NA
2020-06-07,221,NA,NA,NA,221,NA,NA,NA
2020-06-14,253,NA,NA,NA,253,NA,NA,NA
2020-06-21,302,NA,NA,NA,302,NA,NA,NA
2020-06-28,354,NA,NA,NA,354,NA,NA,NA
2020-07-05,390,NA,NA,NA,390,NA,NA,NA
2020-07-12,444,NA,NA,NA,444,NA,NA,NA
2020-07-19,500,NA,NA,NA,500,NA,NA,NA
2020-07-26,555,NA,NA,NA,555,NA,NA,NA
2020-08-02,592,NA,NA,NA,592,NA,NA,NA
2020-08-09,635,NA,NA,NA,635,NA,NA,NA
2020-08-16,660,NA,NA,NA,660,NA,NA,NA
2020-08-23,702,NA,NA,NA,702,NA,NA,NA
2020-08-30,753,NA,NA,NA,753,NA,NA,NA
2020-09-06,788,NA,NA,NA,788,NA,NA,NA
2020-09-13,817,NA,NA,NA,817,NA,NA,NA
2020-09-20,850,NA,NA,NA,850,NA,NA,NA
2020-09-27,873,NA,NA,NA,873,NA,NA,NA
2020-10-04,896,NA,NA,NA,896,NA,NA,NA
2020-10-11,927,NA,NA,NA,927,NA,NA,NA
2020-10-18,971,NA,NA,NA,971,NA,NA,NA
2020-10-25,1001,NA,NA,NA,1001,NA,NA,NA
2020-11-01,1037,NA,NA,NA,1037,NA,NA,NA
2020-11-08,1072,NA,NA,NA,1072,NA,NA,NA
2020-11-15,1121,NA,NA,NA,1121,NA,NA,NA
2020-11-22,1165,NA,NA,NA,1165,NA,NA,NA
2020-11-29,1216,NA,NA,NA,1216,NA,NA,NA
2020-12-06,1267,NA,NA,NA,1267,NA,NA,NA
2020-12-13,1312,NA,NA,NA,1312,NA,NA,NA
2020-12-20,1353,NA,NA,NA,1353,NA,NA,NA
2020-12-27,1394,NA,NA,NA,1394,NA,NA,NA
2021-01-03,1441,NA,NA,NA,1441,NA,NA,NA
2021-01-10,1486,NA,NA,NA,1486,NA,NA,NA
2021-01-17,1525,NA,NA,NA,1525,NA,NA,NA
2021-01-24,1566,NA,NA,NA,1566,NA,NA,NA
2021-01-31,1601,NA,NA,NA,1601,NA,NA,NA
2021-02-07,1653,NA,NA,NA,1653,NA,NA,NA
2021-02-14,1738,NA,NA,NA,1738,NA,NA,NA
2021-02-21,1944,NA,NA,NA,1944,NA,NA,NA
2021-02-28,2176,NA,NA,NA,2176,NA,NA,NA
2021-03-07,2359,NA,NA,NA,2359,NA,NA,NA
2021-03-14,2443,NA,NA,NA,2443,NA,NA,NA
2021-03-21,2533,NA,NA,NA,2533,NA,NA,NA
2021-03-28,2596,NA,NA,NA,2596,NA,NA,NA
2021-04-04,2672,NA,NA,NA,2672,NA,NA,NA
2021-04-11,2748,NA,NA,NA,2748,NA,NA,NA
2021-04-18,2821,NA,NA,NA,2821,NA,NA,NA
2021-04-25,2901,NA,NA,NA,2901,NA,NA,NA
2021-05-02,2993,NA,NA,NA,2993,NA,NA,NA
2021-05-09,3087,NA,NA,NA,3087,NA,NA,NA
2021-05-16,3216,NA,NA,NA,3216,NA,NA,NA
2021-05-23,3343,NA,NA,NA,3343,NA,NA,NA
2021-05-30,3468,NA,NA,NA,3468,NA,NA,NA
2021-06-06,3592,NA,NA,NA,3591,NA,NA,NA
2021-06-13,3690,NA,NA,NA,3688,NA,NA,NA
2021-06-20,3778,NA,NA,NA,3774,NA,NA,NA
2021-06-27,3834,NA,NA,NA,3828,NA,NA,NA
2021-07-04,3894,NA,NA,NA,3885,NA,NA,NA
2021-07-11,3957,NA,NA,NA,3939,NA,NA,NA
2021-07-18,4037,NA,NA,NA,3980,NA,NA,NA
2021-07-25,4103,4103,4049,4186,3985,3985,3985,3985
2021-08-01,NA,4181,4107,4289,NA,3993,3991,3996
