"regiao","estado","data","novos.casos","casos.acumulados","obitos.novos","obitos.acumulados"
"Norte","RO",2020-03-20,0,1,0,0
"Norte","RO",2020-03-21,0,1,0,0
"Norte","RO",2020-03-22,2,3,0,0
"Norte","RO",2020-03-23,0,3,0,0
"Norte","RO",2020-03-24,0,3,0,0
"Norte","RO",2020-03-25,2,5,0,0
"Norte","RO",2020-03-26,0,5,0,0
"Norte","RO",2020-03-27,1,6,0,0
"Norte","RO",2020-03-28,0,6,0,0
"Norte","RO",2020-03-29,0,6,0,0
"Norte","RO",2020-03-30,0,6,0,0
"Norte","RO",2020-03-31,2,8,1,1
"Norte","RO",2020-04-01,1,9,0,1
"Norte","RO",2020-04-02,1,10,0,1
"Norte","RO",2020-04-03,0,10,0,1
"Norte","RO",2020-04-04,1,11,0,1
"Norte","RO",2020-04-05,1,12,0,1
"Norte","RO",2020-04-06,2,14,0,1
"Norte","RO",2020-04-07,4,18,0,1
"Norte","RO",2020-04-08,0,18,0,1
"Norte","RO",2020-04-09,10,28,1,2
"Norte","RO",2020-04-10,4,32,0,2
"Norte","RO",2020-04-11,1,33,0,2
"Norte","RO",2020-04-12,2,35,0,2
"Norte","RO",2020-04-13,7,42,0,2
"Norte","RO",2020-04-14,22,64,0,2
"Norte","RO",2020-04-15,5,69,0,2
"Norte","RO",2020-04-16,7,76,1,3
"Norte","RO",2020-04-17,16,92,0,3
"Norte","RO",2020-04-18,18,110,0,3
"Norte","RO",2020-04-19,18,128,1,4
"Norte","RO",2020-04-20,32,160,0,4
"Norte","RO",2020-04-21,39,199,0,4
"Norte","RO",2020-04-22,24,223,1,5
"Norte","RO",2020-04-23,27,250,0,5
"Norte","RO",2020-04-24,40,290,0,5
"Norte","RO",2020-04-25,38,328,2,7
"Norte","RO",2020-04-26,36,364,3,10
"Norte","RO",2020-04-27,29,393,0,10
"Norte","RO",2020-04-28,20,413,1,11
"Norte","RO",2020-04-29,20,433,4,15
"Norte","RO",2020-04-30,69,502,1,16
"Norte","RO",2020-05-01,83,585,2,18
"Norte","RO",2020-05-02,68,653,5,23
"Norte","RO",2020-05-03,52,705,1,24
"Norte","RO",2020-05-04,51,756,1,25
"Norte","RO",2020-05-05,105,861,4,29
"Norte","RO",2020-05-06,82,943,4,33
"Norte","RO",2020-05-07,155,1098,4,37
"Norte","RO",2020-05-08,124,1222,2,39
"Norte","RO",2020-05-09,41,1263,2,41
"Norte","RO",2020-05-10,39,1302,2,43
"Norte","RO",2020-05-11,94,1396,4,47
"Norte","RO",2020-05-12,64,1460,3,50
"Norte","RO",2020-05-13,152,1612,0,50
"Norte","RO",2020-05-14,74,1686,6,56
"Norte","RO",2020-05-15,103,1789,6,62
"Norte","RO",2020-05-16,130,1919,7,69
"Norte","RO",2020-05-17,44,1963,5,74
"Norte","RO",2020-05-18,80,2043,3,77
"Norte","RO",2020-05-19,214,2257,10,87
"Norte","RO",2020-05-20,242,2499,3,90
"Norte","RO",2020-05-21,160,2659,11,101
"Norte","RO",2020-05-22,115,2774,5,106
"Norte","RO",2020-05-23,335,3109,9,115
"Norte","RO",2020-05-24,92,3201,6,121
"Norte","RO",2020-05-25,67,3268,0,121
"Norte","RO",2020-05-26,225,3493,12,133
"Norte","RO",2020-05-27,369,3862,4,137
"Norte","RO",2020-05-28,390,4252,5,142
"Norte","RO",2020-05-29,250,4502,3,145
"Norte","RO",2020-05-30,241,4743,6,151
"Norte","RO",2020-05-31,199,4942,5,156
"Norte","AC",2020-03-19,0,3,0,0
"Norte","AC",2020-03-20,4,7,0,0
"Norte","AC",2020-03-21,2,9,0,0
"Norte","AC",2020-03-22,2,11,0,0
"Norte","AC",2020-03-23,0,11,0,0
"Norte","AC",2020-03-24,6,17,0,0
"Norte","AC",2020-03-25,6,23,0,0
"Norte","AC",2020-03-26,1,24,0,0
"Norte","AC",2020-03-27,1,25,0,0
"Norte","AC",2020-03-28,0,25,0,0
"Norte","AC",2020-03-29,9,34,0,0
"Norte","AC",2020-03-30,8,42,0,0
"Norte","AC",2020-03-31,0,42,0,0
"Norte","AC",2020-04-01,1,43,0,0
"Norte","AC",2020-04-02,0,43,0,0
"Norte","AC",2020-04-03,3,46,0,0
"Norte","AC",2020-04-04,0,46,0,0
