"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,20,NA,NA,NA,20,NA,NA,NA
2020-03-22,32,NA,NA,NA,32,NA,NA,NA
2020-03-29,88,NA,NA,NA,88,NA,NA,NA
2020-04-05,200,NA,NA,NA,200,NA,NA,NA
2020-04-12,375,NA,NA,NA,375,NA,NA,NA
2020-04-19,624,NA,NA,NA,624,NA,NA,NA
2020-04-26,1038,NA,NA,NA,1038,NA,NA,NA
2020-05-03,1823,NA,NA,NA,1823,NA,NA,NA
2020-05-10,2965,NA,NA,NA,2965,NA,NA,NA
2020-05-17,4298,NA,NA,NA,4298,NA,NA,NA
2020-05-24,5506,NA,NA,NA,5506,NA,NA,NA
2020-05-31,6442,NA,NA,NA,6442,NA,NA,NA
2020-06-07,7210,NA,NA,NA,7210,NA,NA,NA
2020-06-14,7845,NA,NA,NA,7845,NA,NA,NA
2020-06-21,8414,NA,NA,NA,8414,NA,NA,NA
2020-06-28,8956,NA,NA,NA,8956,NA,NA,NA
2020-07-05,9444,NA,NA,NA,9444,NA,NA,NA
2020-07-12,9861,NA,NA,NA,9861,NA,NA,NA
2020-07-19,10249,NA,NA,NA,10249,NA,NA,NA
2020-07-26,10642,NA,NA,NA,10642,NA,NA,NA
2020-08-02,10958,NA,NA,NA,10958,NA,NA,NA
2020-08-09,11255,NA,NA,NA,11255,NA,NA,NA
2020-08-16,11506,NA,NA,NA,11506,NA,NA,NA
2020-08-23,11752,NA,NA,NA,11752,NA,NA,NA
2020-08-30,11947,NA,NA,NA,11947,NA,NA,NA
2020-09-06,12174,NA,NA,NA,12174,NA,NA,NA
2020-09-13,12381,NA,NA,NA,12381,NA,NA,NA
2020-09-20,12573,NA,NA,NA,12573,NA,NA,NA
2020-09-27,12761,NA,NA,NA,12761,NA,NA,NA
2020-10-04,12918,NA,NA,NA,12918,NA,NA,NA
2020-10-11,13084,NA,NA,NA,13084,NA,NA,NA
2020-10-18,13229,NA,NA,NA,13229,NA,NA,NA
2020-10-25,13360,NA,NA,NA,13360,NA,NA,NA
2020-11-01,13496,NA,NA,NA,13496,NA,NA,NA
2020-11-08,13620,NA,NA,NA,13620,NA,NA,NA
2020-11-15,13741,NA,NA,NA,13741,NA,NA,NA
2020-11-22,13863,NA,NA,NA,13863,NA,NA,NA
2020-11-29,14013,NA,NA,NA,14013,NA,NA,NA
2020-12-06,14154,NA,NA,NA,14154,NA,NA,NA
2020-12-13,14336,NA,NA,NA,14336,NA,NA,NA
2020-12-20,14519,NA,NA,NA,14519,NA,NA,NA
2020-12-27,14682,NA,NA,NA,14682,NA,NA,NA
2021-01-03,14853,NA,NA,NA,14853,NA,NA,NA
2021-01-10,15035,NA,NA,NA,15035,NA,NA,NA
2021-01-17,15197,NA,NA,NA,15197,NA,NA,NA
2021-01-24,15405,NA,NA,NA,15405,NA,NA,NA
2021-01-31,15645,NA,NA,NA,15645,NA,NA,NA
2021-02-07,15895,NA,NA,NA,15895,NA,NA,NA
2021-02-14,16207,NA,NA,NA,16207,NA,NA,NA
2021-02-21,16565,NA,NA,NA,16565,NA,NA,NA
2021-02-28,17095,NA,NA,NA,17095,NA,NA,NA
2021-03-07,17763,NA,NA,NA,17763,NA,NA,NA
2021-03-14,18616,NA,NA,NA,18616,NA,NA,NA
2021-03-21,19633,NA,NA,NA,19633,NA,NA,NA
2021-03-28,20800,NA,NA,NA,20800,NA,NA,NA
2021-04-04,21982,NA,NA,NA,21982,NA,NA,NA
2021-04-11,23051,NA,NA,NA,23051,NA,NA,NA
2021-04-18,24083,NA,NA,NA,24083,NA,NA,NA
2021-04-25,25062,NA,NA,NA,25062,NA,NA,NA
2021-05-02,25967,NA,NA,NA,25967,NA,NA,NA
2021-05-09,26770,NA,NA,NA,26770,NA,NA,NA
2021-05-16,27455,NA,NA,NA,27455,NA,NA,NA
2021-05-23,28100,NA,NA,NA,28100,NA,NA,NA
2021-05-30,28702,NA,NA,NA,28702,NA,NA,NA
2021-06-06,29188,NA,NA,NA,29188,NA,NA,NA
2021-06-13,29678,NA,NA,NA,29678,NA,NA,NA
2021-06-20,30060,NA,NA,NA,30060,NA,NA,NA
2021-06-27,30355,NA,NA,NA,30355,NA,NA,NA
2021-07-04,30598,NA,NA,NA,30598,NA,NA,NA
2021-07-11,30791,NA,NA,NA,30791,NA,NA,NA
2021-07-18,30935,NA,NA,NA,30935,NA,NA,NA
2021-07-25,31062,NA,NA,NA,31062,NA,NA,NA
2021-08-01,31184,NA,NA,NA,31184,NA,NA,NA
2021-08-08,31267,NA,NA,NA,31267,NA,NA,NA
2021-08-15,31331,NA,NA,NA,31331,NA,NA,NA
2021-08-22,31381,NA,NA,NA,31381,NA,NA,NA
2021-08-29,31430,NA,NA,NA,31430,NA,NA,NA
2021-09-05,31476,NA,NA,NA,31476,NA,NA,NA
2021-09-12,31523,NA,NA,NA,31523,NA,NA,NA
2021-09-19,31566,NA,NA,NA,31566,NA,NA,NA
2021-09-26,31599,NA,NA,NA,31599,NA,NA,NA
2021-10-03,31633,NA,NA,NA,31633,NA,NA,NA
2021-10-10,31669,NA,NA,NA,31669,NA,NA,NA
2021-10-17,31702,NA,NA,NA,31702,NA,NA,NA
