"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-04-16,1,NA,1,1,NA,NA
2020-04-17,1,NA,1,1,NA,NA
2020-04-19,1,NA,1,1.125,NA,NA
2020-04-22,1,NA,1,1.22222222222222,NA,NA
2020-04-23,1,NA,1,1.3,NA,NA
2020-04-27,1,NA,1,1.2,NA,NA
2020-04-30,1,NA,1,1.1,NA,NA
2020-05-02,NA,NA,2,1.1,NA,NA
2020-05-03,NA,2,2,1.1,2,2
2020-05-04,NA,2,2,1.1,2,2
2020-05-05,NA,0,0,1,0,0
2020-05-06,NA,0,0,1,0,0
2020-05-07,NA,1,1,1,1,1
2020-05-08,NA,1,1,1.1,1,1
2020-05-09,NA,1,1,0.9,1,1
2020-05-10,NA,0,0,1.1,0,0
2020-05-11,NA,1,1,1.5,1,1
2020-05-12,NA,2,2,1.4,2,2
2020-05-13,NA,3,3,1.4,3,4
2020-05-14,NA,0,0,1.5,0,1
2020-05-15,NA,2,2,1.6,2,3
2020-05-16,NA,4,4,1.6,4,5
2020-05-17,NA,0,0,1.4,0,1
2020-05-18,NA,1,1,1.3,1,2
2020-05-19,NA,2,2,1.4,2,3
2020-05-20,NA,1,1,1.6,1,3
2020-05-21,NA,1,1,1.4,1,3
2020-05-22,NA,0,0,1.4,0,2
2020-05-23,NA,2,2,1.5,2,4
2020-05-24,NA,1,1,1.5,1,3
2020-05-25,NA,4,4,1.5,4,6
2020-05-26,NA,2,2,1.6,2,5
2020-05-27,NA,0,0,1.9,0,3
2020-05-28,NA,2,2,2,1,4
2020-05-29,NA,2,2,2,1,4
2020-05-30,NA,1,1,1.7,0,3
2020-05-31,NA,2,2,1.6,1,5
2020-06-01,NA,3,3,1.7,2,6
2020-06-02,NA,3,3,1.6,2,6
2020-06-03,NA,1,1,1.5,0,4
2020-06-04,NA,1,1,1.5,0,4
2020-06-05,NA,1,1,1.4,0,4
2020-06-06,NA,1,1,1.22222222222222,0,4
2020-06-07,NA,1,1,1,0,4
2020-06-08,NA,1,1,1,0,5
2020-06-09,NA,1,1,1,0,5
2020-06-10,NA,1,1,1,0,5
