"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,3,NA,3,2.5,NA,NA
2020-03-16,1,NA,1,3.2,NA,NA
2020-03-18,2,NA,2,3.4,NA,NA
2020-03-19,4,NA,4,3.7,NA,NA
2020-03-20,6,NA,6,3.8,NA,NA
2020-03-21,3,NA,3,3.9,NA,NA
2020-03-22,8,NA,8,4.2,NA,NA
2020-03-23,3,NA,3,4.6,NA,NA
2020-03-24,6,NA,6,4.3,NA,NA
2020-03-25,2,NA,2,4,NA,NA
2020-03-26,4,NA,4,3.8,NA,NA
2020-03-27,4,NA,4,3.4,NA,NA
2020-03-28,6,NA,6,3.4,NA,NA
2020-03-29,1,NA,1,3,NA,NA
2020-03-30,3,NA,3,3.6,NA,NA
2020-03-31,1,NA,1,4.2,NA,NA
2020-04-01,4,NA,4,4.1,NA,NA
2020-04-02,3,NA,3,4.2,NA,NA
2020-04-03,2,NA,2,4.6,NA,NA
2020-04-04,8,NA,8,5.5,NA,NA
2020-04-05,10,NA,10,7.8,NA,NA
2020-04-06,3,NA,3,8.3,NA,NA
2020-04-07,7,NA,7,9.1,NA,NA
2020-04-08,5,NA,5,10.5,NA,NA
2020-04-09,12,NA,12,11.8,NA,NA
2020-04-10,24,NA,24,12.6,NA,NA
2020-04-11,9,NA,9,14.2,NA,NA
2020-04-12,11,NA,11,16.6,NA,NA
2020-04-13,16,NA,16,20.4,NA,NA
2020-04-14,21,NA,21,21.8,NA,NA
2020-04-15,18,NA,18,22,NA,NA
2020-04-16,19,NA,19,23.6,NA,NA
2020-04-17,31,NA,31,24.3,NA,NA
2020-04-18,43,NA,43,25.2,NA,NA
2020-04-19,26,NA,26,26,NA,NA
2020-04-20,26,NA,26,26.8,NA,NA
2020-04-21,25,NA,25,27.5,NA,NA
2020-04-22,18,NA,18,27.8,NA,NA
2020-04-23,25,NA,25,26.7,NA,NA
2020-04-24,29,NA,29,26.6,NA,NA
2020-04-25,26,NA,26,26.7,NA,NA
2020-04-26,26,NA,26,30.5,NA,NA
2020-04-27,34,NA,34,33.1,NA,NA
2020-04-28,32,NA,32,35.1,NA,NA
2020-04-29,25,NA,25,35.9,NA,NA
2020-04-30,27,NA,27,38.2,NA,NA
2020-05-01,63,NA,63,39.5,NA,NA
2020-05-02,44,NA,44,41.7,NA,NA
2020-05-03,45,NA,45,44,NA,NA
2020-05-04,37,NA,37,46.8,NA,NA
2020-05-05,49,NA,49,50.5,NA,NA
2020-05-06,39,NA,39,50.9,NA,NA
2020-05-07,56,NA,56,52.8,NA,NA
2020-05-08,55,NA,55,55,NA,NA
2020-05-09,53,NA,53,57.9,NA,NA
2020-05-10,64,NA,64,61.2,NA,NA
2020-05-11,67,NA,67,64.2,NA,NA
2020-05-12,63,NA,63,66.2,NA,NA
2020-05-13,67,NA,67,67.5,NA,NA
2020-05-14,66,NA,66,68.8,NA,NA
2020-05-15,82,NA,82,72.4,NA,NA
2020-05-16,69,NA,69,73.5,NA,NA
2020-05-17,76,NA,76,74.7,NA,NA
2020-05-18,68,NA,68,75,NA,NA
2020-05-19,66,NA,66,76.9,NA,NA
2020-05-20,100,NA,100,78.5,NA,NA
2020-05-21,78,NA,78,77.9,NA,NA
2020-05-22,75,NA,75,79.1,NA,NA
2020-05-23,70,NA,70,79.2,NA,NA
2020-05-24,85,NA,85,78.6,NA,NA
2020-05-25,98,NA,98,74.6,NA,NA
2020-05-26,63,NA,63,71.8,NA,NA
2020-05-27,88,NA,88,74.4,NA,NA
2020-05-28,69,NA,69,75.1,NA,NA
2020-05-29,60,NA,60,75.4,NA,NA
