"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,5,NA,NA,NA,5,NA,NA,NA
2020-03-22,14,NA,NA,NA,14,NA,NA,NA
2020-03-29,25,NA,NA,NA,25,NA,NA,NA
2020-04-05,38,NA,NA,NA,38,NA,NA,NA
2020-04-12,61,NA,NA,NA,61,NA,NA,NA
2020-04-19,101,NA,NA,NA,101,NA,NA,NA
2020-04-26,178,NA,NA,NA,178,NA,NA,NA
2020-05-03,294,NA,NA,NA,294,NA,NA,NA
2020-05-10,451,NA,NA,NA,451,NA,NA,NA
2020-05-17,662,NA,NA,NA,662,NA,NA,NA
2020-05-24,907,NA,NA,NA,907,NA,NA,NA
2020-05-31,1170,NA,NA,NA,1170,NA,NA,NA
2020-06-07,1536,NA,NA,NA,1536,NA,NA,NA
2020-06-14,1932,NA,NA,NA,1932,NA,NA,NA
2020-06-21,2331,NA,NA,NA,2331,NA,NA,NA
2020-06-28,2656,NA,NA,NA,2656,NA,NA,NA
2020-07-05,2982,NA,NA,NA,2982,NA,NA,NA
2020-07-12,3289,NA,NA,NA,3289,NA,NA,NA
2020-07-19,3498,NA,NA,NA,3498,NA,NA,NA
2020-07-26,3650,NA,NA,NA,3650,NA,NA,NA
2020-08-02,3784,NA,NA,NA,3784,NA,NA,NA
2020-08-09,3931,NA,NA,NA,3931,NA,NA,NA
2020-08-16,4107,NA,NA,NA,4107,NA,NA,NA
2020-08-23,4243,NA,NA,NA,4243,NA,NA,NA
2020-08-30,4347,NA,NA,NA,4347,NA,NA,NA
2020-09-06,4453,NA,NA,NA,4453,NA,NA,NA
2020-09-13,4569,NA,NA,NA,4569,NA,NA,NA
2020-09-20,4665,NA,NA,NA,4665,NA,NA,NA
2020-09-27,4770,NA,NA,NA,4770,NA,NA,NA
2020-10-04,4882,NA,NA,NA,4882,NA,NA,NA
2020-10-11,4983,NA,NA,NA,4983,NA,NA,NA
2020-10-18,5088,NA,NA,NA,5088,NA,NA,NA
2020-10-25,5185,NA,NA,NA,5185,NA,NA,NA
2020-11-01,5270,NA,NA,NA,5270,NA,NA,NA
2020-11-08,5347,NA,NA,NA,5347,NA,NA,NA
2020-11-15,5426,NA,NA,NA,5426,NA,NA,NA
2020-11-22,5510,NA,NA,NA,5510,NA,NA,NA
2020-11-29,5584,NA,NA,NA,5584,NA,NA,NA
2020-12-06,5692,NA,NA,NA,5692,NA,NA,NA
2020-12-13,5789,NA,NA,NA,5789,NA,NA,NA
2020-12-20,5888,NA,NA,NA,5888,NA,NA,NA
2020-12-27,5967,NA,NA,NA,5967,NA,NA,NA
2021-01-03,6070,NA,NA,NA,6070,NA,NA,NA
2021-01-10,6161,NA,NA,NA,6161,NA,NA,NA
2021-01-17,6237,NA,NA,NA,6237,NA,NA,NA
2021-01-24,6332,NA,NA,NA,6332,NA,NA,NA
2021-01-31,6418,NA,NA,NA,6418,NA,NA,NA
2021-02-07,6555,NA,NA,NA,6555,NA,NA,NA
2021-02-14,6728,NA,NA,NA,6728,NA,NA,NA
2021-02-21,6924,NA,NA,NA,6924,NA,NA,NA
2021-02-28,7145,NA,NA,NA,7145,NA,NA,NA
2021-03-07,7507,NA,NA,NA,7507,NA,NA,NA
2021-03-14,7908,NA,NA,NA,7908,NA,NA,NA
2021-03-21,8290,NA,NA,NA,8290,NA,NA,NA
2021-03-28,8592,NA,NA,NA,8592,NA,NA,NA
2021-04-04,8884,NA,NA,NA,8884,NA,NA,NA
2021-04-11,9185,NA,NA,NA,9185,NA,NA,NA
2021-04-18,9422,NA,NA,NA,9422,NA,NA,NA
2021-04-25,9674,NA,NA,NA,9674,NA,NA,NA
2021-05-02,9902,NA,NA,NA,9902,NA,NA,NA
2021-05-09,10088,NA,NA,NA,10088,NA,NA,NA
2021-05-16,10261,NA,NA,NA,10261,NA,NA,NA
2021-05-23,10453,NA,NA,NA,10453,NA,NA,NA
2021-05-30,10602,NA,NA,NA,10602,NA,NA,NA
2021-06-06,10760,NA,NA,NA,10760,NA,NA,NA
2021-06-13,10877,NA,NA,NA,10877,NA,NA,NA
2021-06-20,10967,NA,NA,NA,10967,NA,NA,NA
2021-06-27,11064,NA,NA,NA,11064,NA,NA,NA
2021-07-04,11130,NA,NA,NA,11130,NA,NA,NA
