"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,5,NA,NA,NA,5,NA,NA,NA
2020-03-22,14,NA,NA,NA,14,NA,NA,NA
2020-03-29,25,NA,NA,NA,25,NA,NA,NA
2020-04-05,38,NA,NA,NA,38,NA,NA,NA
2020-04-12,61,NA,NA,NA,61,NA,NA,NA
2020-04-19,101,NA,NA,NA,101,NA,NA,NA
2020-04-26,178,NA,NA,NA,178,NA,NA,NA
2020-05-03,294,NA,NA,NA,294,NA,NA,NA
2020-05-10,451,NA,NA,NA,451,NA,NA,NA
2020-05-17,662,NA,NA,NA,662,NA,NA,NA
2020-05-24,907,NA,NA,NA,907,NA,NA,NA
2020-05-31,1170,NA,NA,NA,1170,NA,NA,NA
2020-06-07,1536,NA,NA,NA,1536,NA,NA,NA
2020-06-14,1932,NA,NA,NA,1932,NA,NA,NA
2020-06-21,2331,NA,NA,NA,2331,NA,NA,NA
2020-06-28,2656,NA,NA,NA,2656,NA,NA,NA
2020-07-05,2982,NA,NA,NA,2982,NA,NA,NA
2020-07-12,3289,NA,NA,NA,3289,NA,NA,NA
2020-07-19,3498,NA,NA,NA,3498,NA,NA,NA
2020-07-26,3650,NA,NA,NA,3650,NA,NA,NA
2020-08-02,3784,NA,NA,NA,3784,NA,NA,NA
2020-08-09,3931,NA,NA,NA,3931,NA,NA,NA
2020-08-16,4107,NA,NA,NA,4107,NA,NA,NA
2020-08-23,4243,NA,NA,NA,4243,NA,NA,NA
2020-08-30,4347,NA,NA,NA,4347,NA,NA,NA
2020-09-06,4453,NA,NA,NA,4453,NA,NA,NA
2020-09-13,4569,NA,NA,NA,4569,NA,NA,NA
2020-09-20,4665,NA,NA,NA,4665,NA,NA,NA
2020-09-27,4770,NA,NA,NA,4770,NA,NA,NA
2020-10-04,4882,NA,NA,NA,4882,NA,NA,NA
2020-10-11,4983,NA,NA,NA,4983,NA,NA,NA
2020-10-18,5088,NA,NA,NA,5088,NA,NA,NA
2020-10-25,5185,NA,NA,NA,5185,NA,NA,NA
2020-11-01,5270,NA,NA,NA,5270,NA,NA,NA
2020-11-08,5347,NA,NA,NA,5347,NA,NA,NA
2020-11-15,5426,NA,NA,NA,5426,NA,NA,NA
2020-11-22,5510,NA,NA,NA,5510,NA,NA,NA
2020-11-29,5584,NA,NA,NA,5584,NA,NA,NA
2020-12-06,5692,NA,NA,NA,5692,NA,NA,NA
2020-12-13,5789,NA,NA,NA,5789,NA,NA,NA
2020-12-20,5888,NA,NA,NA,5888,NA,NA,NA
2020-12-27,5967,NA,NA,NA,5967,NA,NA,NA
2021-01-03,6070,NA,NA,NA,6070,NA,NA,NA
2021-01-10,6161,NA,NA,NA,6161,NA,NA,NA
2021-01-17,6236,NA,NA,NA,6236,NA,NA,NA
2021-01-24,6331,NA,NA,NA,6331,NA,NA,NA
2021-01-31,6417,NA,NA,NA,6417,NA,NA,NA
2021-02-07,6554,NA,NA,NA,6554,NA,NA,NA
2021-02-14,6726,NA,NA,NA,6726,NA,NA,NA
2021-02-21,6921,NA,NA,NA,6921,NA,NA,NA
2021-02-28,7142,NA,NA,NA,7142,NA,NA,NA
2021-03-07,7500,NA,NA,NA,7500,NA,NA,NA
2021-03-14,7899,NA,NA,NA,7899,NA,NA,NA
2021-03-21,8280,NA,NA,NA,8280,NA,NA,NA
2021-03-28,8582,NA,NA,NA,8582,NA,NA,NA
2021-04-04,8873,NA,NA,NA,8873,NA,NA,NA
2021-04-11,9174,NA,NA,NA,9174,NA,NA,NA
2021-04-18,9410,NA,NA,NA,9410,NA,NA,NA
2021-04-25,9661,NA,NA,NA,9661,NA,NA,NA
2021-05-02,9887,NA,NA,NA,9887,NA,NA,NA
2021-05-09,10072,NA,NA,NA,10072,NA,NA,NA
2021-05-16,10244,NA,NA,NA,10244,NA,NA,NA
2021-05-23,10437,NA,NA,NA,10437,NA,NA,NA
2021-05-30,10586,NA,NA,NA,10586,NA,NA,NA
2021-06-06,10744,NA,NA,NA,10744,NA,NA,NA
2021-06-13,10861,NA,NA,NA,10861,NA,NA,NA
2021-06-20,10951,NA,NA,NA,10951,NA,NA,NA
2021-06-27,11048,NA,NA,NA,11048,NA,NA,NA
2021-07-04,11115,NA,NA,NA,11115,NA,NA,NA
