"estimativa","ic.inf","ic.sup","data"
1.97612910632502,0.907067309963998,-33.7545327025318,2020-03-28
2.6961864068088,1.16489913059922,-11.8506299379327,2020-03-30
2.93329666414729,1.31231499029404,-17.3866911914082,2020-04-01
3.35070992570011,1.4876909401572,-16.8640521015502,2020-04-02
3.54601413152418,1.61780913900776,-23.956619807545,2020-04-03
4.20197336597737,1.8389588324553,-16.9397674018922,2020-04-04
5.61482737084039,2.17672873054985,-10.2521837118601,2020-04-05
6.78531590176549,2.42434117910729,-8.80817820584173,2020-04-06
5.27476862111996,2.29329626942428,-19.1372054505878,2020-04-07
4.21635860116931,2.13782662045593,86.1428366728909,2020-04-08
4.45894739517969,2.27405075105518,77.121825452365,2020-04-09
5.85628087923058,2.68559830019088,-35.6823886736628,2020-04-10
9.85624101323449,3.44333923923911,-11.6266892204486,2020-04-11
11.3492804412715,3.70729142365589,-10.8321196767679,2020-04-12
10.0684802041166,3.63022867669456,-13.2351584409684,2020-04-13
10.6858030050099,3.78135137539205,-13.1293368918032,2020-04-14
13.5703492510193,4.17475926346618,-10.9508707691015,2020-04-15
15.3346866905666,4.4132149666179,-10.474919124979,2020-04-16
17.263303614304,4.63642797694953,-10.0772435721884,2020-04-17
13.8479152528703,4.41780588933508,-12.3120998996836,2020-04-18
11.3240342660865,4.1966709454395,-16.4343069195835,2020-04-19
9.53370984683476,4.00128088977113,-25.4916540583784,2020-04-20
8.67186312313475,3.91433579463584,-41.8281289396125,2020-04-21
9.3457319368255,4.13394455915091,-36.9068544233475,2020-04-23
9.25800282562628,4.20580342376428,-47.6479631538177,2020-04-24
9.95271572074279,4.43397601893413,-41.7849178464912,2020-04-25
9.61310657070989,4.44934752507808,-62.2018775699482,2020-04-26
8.34830713630947,4.24146541499053,223.900702789085,2020-04-27
9.53476567398365,4.61502027012773,-156.65455985909,2020-04-28
11.0715622764877,5.03312046197193,-56.8117721017575,2020-04-29
16.7155001588299,6.05220572879288,-22.0732546971475,2020-04-30
20.3042924293561,6.58212282056873,-18.7935999582956,2020-05-01
14.1325858015608,5.83637738066037,-33.8692338514965,2020-05-03
13.7157425163803,5.83778247170365,-39.7024739619025,2020-05-04
12.1267794182419,5.60522722549376,-75.9528695282564,2020-05-05
14.2179846046271,6.10990250180024,-43.960717316609,2020-05-07
15.96235320567,6.50238640932888,-35.3621944364071,2020-05-08
16.9952179957805,6.74664954837049,-32.952955295948,2020-05-09
18.6860615686993,7.09758491858166,-29.68103670835,2020-05-10
18.4162689712268,7.13566057470395,-31.8722249756761,2020-05-11
20.0375609442849,7.4477733002923,-29.1476260671901,2020-05-12
23.6805335802897,7.97982087668279,-24.5475412705738,2020-05-13
28.6268769828199,8.56639069112844,-21.3795884294258,2020-05-14
30.3430835798694,8.78636464836332,-20.9160573225048,2020-05-15
33.371464380364,9.09352870385932,-20.0172031983721,2020-05-16
29.613459680874,8.86216368363161,-22.1167837875242,2020-05-17
29.3734093460686,8.91693651594863,-22.7423076244828,2020-05-18
25.9079678587501,8.63718649899202,-25.9831778793133,2020-05-19
21.3699989134991,8.14178421912575,-34.3388336553757,2020-05-20
18.8216190036931,7.82509747114163,-46.7071376227512,2020-05-21
16.6901403849331,7.50521681452287,-75.3264836163456,2020-05-22
16.558980087031,7.55940794559067,-87.9092237313213,2020-05-23
19.2778154063233,8.17075946419352,-53.9543587465273,2020-05-24
24.0493275094538,9.01274187276659,-36.0902132544917,2020-05-25
25.3285227873281,9.27736364873855,-34.7823570503274,2020-05-26
27.7814072740701,9.6714531634147,-31.9097227482038,2020-05-27
28.4432220847092,9.82623129717006,-31.859357506421,2020-05-28
27.3053245251917,9.76526160642996,-34.3736487698545,2020-05-29
24.5083787004308,9.47094575361032,-41.8234048377464,2020-05-30
21.5989507253341,9.07451087122992,-57.0677743638665,2020-05-31
22.5739608975908,9.31958113688503,-53.676487816891,2020-06-01
26.1804092864274,9.9703240410771,-41.9404683050957,2020-06-02
32.8334325628609,10.8992447862641,-32.4798668369415,2020-06-03
