"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-04-05,3,NA,3,NA,NA,NA
2020-04-12,1,NA,1,NA,NA,NA
2020-04-19,1,NA,1,NA,NA,NA
2020-04-26,7,NA,7,NA,NA,NA
2020-05-03,8,NA,8,NA,NA,NA
2020-05-10,25,NA,25,NA,NA,NA
2020-05-17,40,NA,40,NA,NA,NA
2020-05-24,49,NA,49,NA,NA,NA
2020-05-31,83,NA,83,NA,NA,NA
2020-06-07,92,NA,92,NA,NA,NA
2020-06-14,123,NA,123,NA,NA,NA
2020-06-21,140,NA,140,NA,NA,NA
2020-06-28,186,NA,186,NA,NA,NA
2020-07-05,202,NA,202,NA,NA,NA
2020-07-12,173,NA,173,NA,NA,NA
2020-07-19,165,NA,165,NA,NA,NA
2020-07-26,179,NA,179,NA,NA,NA
2020-08-02,136,NA,136,NA,NA,NA
2020-08-09,96,NA,96,NA,NA,NA
2020-08-16,75,NA,75,NA,NA,NA
2020-08-23,61,NA,61,NA,NA,NA
2020-08-30,43,NA,43,NA,NA,NA
2020-09-06,49,NA,49,NA,NA,NA
2020-09-13,44,NA,44,NA,NA,NA
2020-09-20,30,NA,30,NA,NA,NA
2020-09-27,32,NA,32,NA,NA,NA
2020-10-04,32,NA,32,NA,NA,NA
2020-10-11,35,NA,35,NA,NA,NA
2020-10-18,39,NA,39,NA,NA,NA
2020-10-25,30,NA,30,NA,NA,NA
2020-11-01,30,NA,30,NA,NA,NA
2020-11-08,15,NA,15,NA,NA,NA
2020-11-15,16,NA,16,NA,NA,NA
2020-11-22,24,NA,24,NA,NA,NA
2020-11-29,42,NA,42,NA,NA,NA
2020-12-06,55,NA,55,NA,NA,NA
2020-12-13,52,NA,52,NA,NA,NA
2020-12-20,61,NA,61,NA,NA,NA
2020-12-27,55,NA,55,NA,NA,NA
2021-01-03,65,NA,65,NA,NA,NA
2021-01-10,54,NA,54,NA,NA,NA
2021-01-17,56,NA,56,NA,NA,NA
2021-01-24,52,NA,52,NA,NA,NA
2021-01-31,43,NA,43,NA,NA,NA
2021-02-07,36,NA,36,NA,NA,NA
2021-02-14,53,NA,53,NA,NA,NA
2021-02-21,38,NA,38,NA,NA,NA
2021-02-28,64,NA,64,NA,NA,NA
2021-03-07,63,NA,63,NA,NA,NA
2021-03-14,129,NA,129,NA,NA,NA
2021-03-21,156,NA,156,NA,NA,NA
2021-03-28,148,NA,148,NA,NA,NA
2021-04-04,209,NA,209,NA,NA,NA
2021-04-11,199,NA,199,NA,NA,NA
2021-04-18,195,NA,195,NA,NA,NA
2021-04-25,200,NA,200,NA,NA,NA
2021-05-02,198,NA,198,NA,NA,NA
2021-05-09,184,NA,184,NA,NA,NA
2021-05-16,154,NA,154,NA,NA,NA
2021-05-23,160,NA,160,NA,NA,NA
2021-05-30,160,NA,160,NA,NA,NA
2021-06-06,156,NA,156,NA,NA,NA
2021-06-13,160,NA,160,NA,NA,NA
2021-06-20,123,NA,123,NA,NA,NA
2021-06-27,82,NA,82,NA,NA,NA
2021-07-04,98,NA,98,NA,NA,NA
2021-07-11,54,NA,54,NA,NA,NA
2021-07-18,45,NA,45,NA,NA,NA
2021-07-25,25,NA,25,NA,NA,NA
2021-08-01,18,NA,18,NA,NA,NA
2021-08-08,20,NA,20,NA,NA,NA
2021-08-15,7,NA,7,NA,NA,NA
2021-08-22,13,NA,13,NA,NA,NA
2021-08-29,11,NA,11,NA,NA,NA
2021-09-05,3,NA,3,NA,NA,NA
2021-09-12,2,NA,2,NA,NA,NA
2021-09-19,2,NA,2,NA,NA,NA
2021-09-26,3,NA,3,NA,NA,NA
2021-10-03,5,NA,5,NA,NA,NA
2021-10-17,2,NA,2,NA,NA,NA
2021-10-24,5,NA,5,NA,NA,NA
2021-10-31,3,NA,3,NA,NA,NA
2021-11-07,6,NA,6,NA,NA,NA
2021-11-14,3,NA,3,NA,NA,NA
2021-11-21,4,NA,4,NA,NA,NA
2021-12-05,4,NA,4,NA,NA,NA
2021-12-12,3,NA,3,NA,NA,NA
2021-12-26,3,NA,3,NA,NA,NA
2022-01-02,4,NA,4,NA,NA,NA
2022-01-09,2,NA,2,NA,NA,NA
2022-01-16,9,NA,9,NA,NA,NA
2022-01-23,23,NA,23,NA,NA,NA
2022-01-30,41,NA,41,NA,NA,NA
2022-02-06,41,NA,41,NA,NA,NA
2022-02-13,66,NA,66,NA,NA,NA
2022-02-20,48,NA,48,NA,NA,NA
2022-02-27,21,NA,21,NA,NA,NA
2022-03-06,12,NA,12,NA,NA,NA
2022-03-13,17,NA,17,NA,NA,NA
2022-03-20,4,NA,4,NA,NA,NA
2022-03-27,5,NA,5,NA,NA,NA
2022-04-03,6,NA,6,NA,NA,NA
2022-04-10,2,NA,2,NA,NA,NA
2022-04-17,2,NA,2,NA,NA,NA
2022-04-24,3,NA,3,NA,NA,NA
2022-05-01,1,NA,1,NA,NA,NA
2022-05-15,1,NA,1,NA,NA,NA
2022-05-22,1,NA,1,NA,NA,NA
2022-05-29,NA,1,1,NA,1,3
2022-06-05,NA,0,0,NA,0,2
2022-06-12,NA,3,3,NA,3,7
2022-06-19,NA,3,3,NA,3,8
2022-06-26,NA,7,7,NA,7,16
2022-07-03,NA,8,8,NA,7,19
2022-07-10,NA,12,12,NA,11,29
2022-07-17,NA,27,27,NA,22,61.0249999999996
2022-07-24,NA,29,29,NA,18,66
