"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,5,NA,5,4.4,NA,NA
2020-03-16,3,NA,3,4.8,NA,NA
2020-03-18,8,NA,8,5.2,NA,NA
2020-03-19,2,NA,2,5.7,NA,NA
2020-03-20,9,NA,9,6.4,NA,NA
2020-03-21,7,NA,7,6.8,NA,NA
2020-03-22,5,NA,5,7.2,NA,NA
2020-03-23,8,NA,8,7,NA,NA
2020-03-24,6,NA,6,7.3,NA,NA
2020-03-25,11,NA,11,6.8,NA,NA
2020-03-26,9,NA,9,6.7,NA,NA
2020-03-27,7,NA,7,6.9,NA,NA
2020-03-28,6,NA,6,6.5,NA,NA
2020-03-29,5,NA,5,6.1,NA,NA
2020-03-30,4,NA,4,5.4,NA,NA
2020-03-31,6,NA,6,5.5,NA,NA
2020-04-01,7,NA,7,5.1,NA,NA
2020-04-02,4,NA,4,5.3,NA,NA
2020-04-03,2,NA,2,5,NA,NA
2020-04-04,4,NA,4,5,NA,NA
2020-04-05,10,NA,10,5.4,NA,NA
2020-04-06,3,NA,3,5.1,NA,NA
2020-04-07,8,NA,8,5.4,NA,NA
2020-04-08,2,NA,2,6.5,NA,NA
2020-04-09,4,NA,4,6.7,NA,NA
2020-04-10,10,NA,10,6.4,NA,NA
2020-04-11,4,NA,4,6.8,NA,NA
2020-04-12,7,NA,7,7,NA,NA
2020-04-13,13,NA,13,7.5,NA,NA
2020-04-14,6,NA,6,8.5,NA,NA
2020-04-15,7,NA,7,9.1,NA,NA
2020-04-16,7,NA,7,9.9,NA,NA
2020-04-17,10,NA,10,10.1,NA,NA
2020-04-18,7,NA,7,9.5,NA,NA
2020-04-19,14,NA,14,9.8,NA,NA
2020-04-20,16,NA,16,10.1,NA,NA
2020-04-21,12,NA,12,10.8,NA,NA
2020-04-22,9,NA,9,11.3,NA,NA
2020-04-23,7,NA,7,11.4,NA,NA
2020-04-24,9,NA,9,10.7,NA,NA
2020-04-25,10,NA,10,10.8,NA,NA
2020-04-26,14,NA,14,11.4,NA,NA
2020-04-27,15,NA,15,11.5,NA,NA
2020-04-28,8,NA,8,11.7,NA,NA
2020-04-29,7,NA,7,12.4,NA,NA
2020-04-30,17,NA,17,12.9,NA,NA
2020-05-01,18,NA,18,12.4,NA,NA
2020-05-02,10,NA,10,12.2,NA,NA
2020-05-03,9,NA,9,12.3,NA,NA
2020-05-04,16,NA,16,12.6,NA,NA
2020-05-05,15,NA,15,13.3,NA,NA
2020-05-06,9,NA,9,12.8,NA,NA
2020-05-07,13,NA,13,13.3,NA,NA
2020-05-08,9,NA,9,13.5,NA,NA
2020-05-09,10,NA,10,13.6,NA,NA
2020-05-10,24,NA,24,13.5,NA,NA
2020-05-11,13,NA,13,14.3,NA,NA
2020-05-12,15,NA,15,13.9,NA,NA
2020-05-13,11,NA,11,14.1,NA,NA
2020-05-14,17,NA,17,13.8,NA,NA
2020-05-15,14,NA,14,13.4,NA,NA
2020-05-16,17,NA,17,13.3,NA,NA
2020-05-17,9,NA,9,12.8,NA,NA
2020-05-18,11,NA,11,12.8,NA,NA
2020-05-19,7,NA,7,12.4,NA,NA
2020-05-20,NA,20,20,11.9,20,22
2020-05-21,NA,12,12,11.3,12,14
2020-05-22,NA,10,10,11.4,10,12
2020-05-23,NA,11,11,11.5,11,14
2020-05-24,NA,13,13,11.8,13,16
2020-05-25,NA,9,9,11,9,12
2020-05-26,NA,11,11,10.3,10,14
2020-05-27,NA,10,10,11.1,9,13
2020-05-28,NA,12,12,11.2,11,16
2020-05-29,NA,10,10,11.2,9,14
2020-05-30,NA,12,12,11.5,11,16
2020-05-31,NA,5,5,11.7,4,9
2020-06-01,NA,18,18,12.4,17,22
2020-06-02,NA,12,12,12.3,10,15.0249999999996
2020-06-03,NA,13,13,12.7,11,17
2020-06-04,NA,12,12,12.2,10,16
2020-06-05,NA,13,13,13.1,11,17
2020-06-06,NA,17,17,13.1,15,21
2020-06-07,NA,11,11,13.2,9,16
2020-06-08,NA,14,14,12.5,11,18
2020-06-09,NA,7,7,12.6,4,12
2020-06-10,NA,14,14,12.5,11,19
2020-06-11,NA,18,18,11.7,15,23
2020-06-12,NA,13,13,11.3,10,18
2020-06-13,NA,6,6,10.8,3,11.0249999999996
2020-06-14,NA,13,13,11,9,18
2020-06-15,NA,12,12,11,8,18
2020-06-16,NA,9,9,10.3,4,15
2020-06-17,NA,7,7,10.6,3,14
2020-06-18,NA,9,9,11.1,4,16
2020-06-19,NA,9,9,11.1,4,16
2020-06-20,NA,14,14,11.2,8,22
2020-06-21,NA,11,11,11.5,5,19
2020-06-22,NA,16,16,12,9,25
2020-06-23,NA,11,11,12.3333333333333,5,21
2020-06-24,NA,13,13,12.75,6,23
2020-06-25,NA,13,13,12.5714285714286,6,24
2020-06-26,NA,12,12,12.8333333333333,5,24
2020-06-27,NA,12,12,12.2,5,25
