"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-04-19,1,NA,1,NA,NA,NA
2020-05-03,1,NA,1,NA,NA,NA
2020-05-17,1,NA,1,NA,NA,NA
2020-05-24,3,NA,3,NA,NA,NA
2020-05-31,5,NA,5,NA,NA,NA
2020-06-07,14,NA,14,NA,NA,NA
2020-06-14,27,NA,27,NA,NA,NA
2020-06-21,31,NA,31,NA,NA,NA
2020-06-28,44,NA,44,NA,NA,NA
2020-07-05,52,NA,52,NA,NA,NA
2020-07-12,53,NA,53,NA,NA,NA
2020-07-19,40,NA,40,NA,NA,NA
2020-07-26,28,NA,28,NA,NA,NA
2020-08-02,33,NA,33,NA,NA,NA
2020-08-09,35,NA,35,NA,NA,NA
2020-08-16,31,NA,31,NA,NA,NA
2020-08-23,30,NA,30,NA,NA,NA
2020-08-30,30,NA,30,NA,NA,NA
2020-09-06,16,NA,16,NA,NA,NA
2020-09-13,20,NA,20,NA,NA,NA
2020-09-20,19,NA,19,NA,NA,NA
2020-09-27,17,NA,17,NA,NA,NA
2020-10-04,14,NA,14,NA,NA,NA
2020-10-11,13,NA,13,NA,NA,NA
2020-10-18,11,NA,11,NA,NA,NA
2020-10-25,11,NA,11,NA,NA,NA
2020-11-01,9,NA,9,NA,NA,NA
2020-11-08,8,NA,8,NA,NA,NA
2020-11-15,7,NA,7,NA,NA,NA
2020-11-22,6,NA,6,NA,NA,NA
2020-11-29,2,NA,2,NA,NA,NA
2020-12-06,8,NA,8,NA,NA,NA
2020-12-13,7,NA,7,NA,NA,NA
2020-12-20,8,NA,8,NA,NA,NA
2020-12-27,11,NA,11,NA,NA,NA
2021-01-03,15,NA,15,NA,NA,NA
2021-01-10,22,NA,22,NA,NA,NA
2021-01-17,NA,18,18,NA,18,19
2021-01-24,NA,21,21,NA,21,22
2021-01-31,NA,18,18,NA,18,20
2021-02-07,NA,33,33,NA,33,36
2021-02-14,NA,28,28,NA,28,31
2021-02-21,NA,15,15,NA,15,18
2021-02-28,NA,7,7,NA,7,9
2021-03-07,NA,10,10,NA,9,13
2021-03-14,NA,8,8,NA,5,12
