"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-05,63,NA,NA,NA,63,NA,NA,NA
2020-03-06,78,NA,NA,NA,78,NA,NA,NA
2020-03-07,95,NA,NA,NA,95,NA,NA,NA
2020-03-08,115,NA,NA,NA,115,NA,NA,NA
2020-03-09,149,NA,NA,NA,149,NA,NA,NA
2020-03-10,189,NA,NA,NA,189,NA,NA,NA
2020-03-11,237,NA,NA,NA,237,NA,NA,NA
2020-03-12,293,NA,NA,NA,293,NA,NA,NA
2020-03-13,364,NA,NA,NA,365,NA,NA,NA
2020-03-14,468,NA,NA,NA,471,NA,NA,NA
2020-03-15,578,NA,NA,NA,585,NA,NA,NA
2020-03-16,723,NA,NA,NA,731,NA,NA,NA
2020-03-17,843,NA,NA,NA,850,NA,NA,NA
2020-03-18,972,NA,NA,NA,977,NA,NA,NA
2020-03-19,1113,NA,NA,NA,1120,NA,NA,NA
2020-03-20,1303,NA,NA,NA,1306,NA,NA,NA
2020-03-21,1491,NA,NA,NA,1485,NA,NA,NA
2020-03-22,1687,NA,NA,NA,1667,NA,NA,NA
2020-03-23,1933,NA,NA,NA,1895,NA,NA,NA
2020-03-24,2169,NA,NA,NA,2106,NA,NA,NA
2020-03-25,2398,NA,NA,NA,2311,NA,NA,NA
2020-03-26,2635,NA,NA,NA,2521,NA,NA,NA
2020-03-27,2816,NA,NA,NA,2675,NA,NA,NA
2020-03-28,3024,NA,NA,NA,2852,NA,NA,NA
2020-03-29,3231,NA,NA,NA,3027,NA,NA,NA
2020-03-30,3428,NA,NA,NA,3193,NA,NA,NA
2020-03-31,3625,NA,NA,NA,3351,NA,NA,NA
2020-04-01,3856,NA,NA,NA,3538,NA,NA,NA
2020-04-02,4049,NA,NA,NA,3686,NA,NA,NA
2020-04-03,4218,NA,NA,NA,3808,NA,NA,NA
2020-04-04,4396,NA,NA,NA,3938,NA,NA,NA
2020-04-05,4572,NA,NA,NA,4067,NA,NA,NA
2020-04-06,4763,NA,NA,NA,4202,NA,NA,NA
2020-04-07,4936,NA,NA,NA,4316,NA,NA,NA
2020-04-08,5112,NA,NA,NA,4433,NA,NA,NA
2020-04-09,5289,NA,NA,NA,4541,NA,NA,NA
2020-04-10,5492,NA,NA,NA,4669,NA,NA,NA
2020-04-11,5629,NA,NA,NA,4741,NA,NA,NA
2020-04-12,5766,NA,NA,NA,4822,NA,NA,NA
2020-04-13,5921,NA,NA,NA,4907,NA,NA,NA
2020-04-14,6032,NA,NA,NA,4965,NA,NA,NA
2020-04-15,6164,NA,NA,NA,5034,NA,NA,NA
2020-04-16,6284,NA,NA,NA,5087,NA,NA,NA
2020-04-17,6384,NA,NA,NA,5117,NA,NA,NA
2020-04-18,6489,NA,NA,NA,5164,NA,NA,NA
2020-04-19,6579,NA,NA,NA,5176,NA,NA,NA
2020-04-20,6671,NA,NA,NA,5195,NA,NA,NA
2020-04-21,6763,6763,6083,7597,5199,5199,5199,5199
2020-04-22,NA,6864,6145,7750,NA,5298,5252,5374
2020-04-23,NA,6963,6201,7910,NA,5396,5304,5548
2020-04-24,NA,7063,6258,8074,NA,5493,5355,5718
2020-04-25,NA,7165,6315,8241,NA,5587,5404,5885
2020-04-26,NA,7268,6373,8412,NA,5679,5453,6049
2020-04-27,NA,7372,6431,8587,NA,5769,5500,6208
2020-04-28,NA,7479,6490,8764,NA,5856,5546,6364
2020-04-29,NA,7586,6549,8946,NA,5942,5591,6517
2020-04-30,NA,7695,6608,9131,NA,6024,5634,6664
2020-05-01,NA,7806,6669,9321,NA,6103,5676,6806
2020-05-02,NA,7919,6730,9514,NA,6180,5715,6943
2020-05-03,NA,8033,6791,9711,NA,6253,5753,7074
2020-05-04,NA,8148,6853,9912,NA,6322,5790,7199
2020-05-05,NA,8266,6915,10118,NA,6388,5824,7318
2020-05-06,NA,8385,6978,10327,NA,6448,5855,7426
2020-05-07,NA,8505,7042,10541,NA,6502,5883,7525
2020-05-08,NA,8628,7106,10760,NA,6550,5908,7612
2020-05-09,NA,8752,7171,10983,NA,6592,5929,7688
2020-05-10,NA,8878,7237,11210,NA,6625,5946,7750
2020-05-11,NA,9006,7303,11443,NA,6653,5960,7800
2020-05-12,NA,9135,7369,11680,NA,6673,5971,7838
2020-05-13,NA,9267,7436,11922,NA,6688,5978,7866
2020-05-14,NA,9400,7504,12169,NA,6698,5983,7883
2020-05-15,NA,9536,7573,12421,NA,6703,5986,7893
2020-05-16,NA,9673,7642,12678,NA,6705,5987,7896
2020-05-17,NA,9812,7711,12941,NA,6705,5987,7897
