"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-31,1,NA,NA,NA,1,NA,NA,NA
2020-04-04,2,NA,NA,NA,2,NA,NA,NA
2020-04-05,4,NA,NA,NA,4,NA,NA,NA
2020-04-06,5,NA,NA,NA,5,NA,NA,NA
2020-04-08,6,NA,NA,NA,6,NA,NA,NA
2020-04-11,7,NA,NA,NA,7,NA,NA,NA
2020-04-14,8,NA,NA,NA,8,NA,NA,NA
2020-04-15,9,NA,NA,NA,9,NA,NA,NA
2020-04-16,10,NA,NA,NA,10,NA,NA,NA
2020-04-22,11,NA,NA,NA,11,NA,NA,NA
2020-04-26,12,NA,NA,NA,12,NA,NA,NA
2020-04-28,13,NA,NA,NA,13,NA,NA,NA
2020-04-30,16,NA,NA,NA,16,NA,NA,NA
2020-05-01,18,NA,NA,NA,18,NA,NA,NA
2020-05-02,19,NA,NA,NA,19,NA,NA,NA
2020-05-03,20,NA,NA,NA,20,NA,NA,NA
2020-05-06,23,NA,NA,NA,23,NA,NA,NA
2020-05-07,24,NA,NA,NA,24,NA,NA,NA
2020-05-08,25,NA,NA,NA,25,NA,NA,NA
2020-05-09,26,NA,NA,NA,26,NA,NA,NA
2020-05-10,27,NA,NA,NA,27,NA,NA,NA
2020-05-11,29,NA,NA,NA,29,NA,NA,NA
2020-05-13,30,NA,NA,NA,30,NA,NA,NA
2020-05-17,32,NA,NA,NA,32,NA,NA,NA
2020-05-19,39,NA,NA,NA,39,NA,NA,NA
2020-05-20,40,NA,NA,NA,40,NA,NA,NA
2020-05-22,41,NA,NA,NA,41,NA,NA,NA
2020-05-23,43,NA,NA,NA,43,NA,NA,NA
2020-05-24,46,NA,NA,NA,46,NA,NA,NA
2020-05-25,49,NA,NA,NA,49,NA,NA,NA
2020-05-26,51,NA,NA,NA,51,NA,NA,NA
2020-05-27,55,NA,NA,NA,55,NA,NA,NA
2020-05-28,59,NA,NA,NA,59,NA,NA,NA
2020-05-29,63,NA,NA,NA,63,NA,NA,NA
2020-05-30,67,NA,NA,NA,67,NA,NA,NA
2020-05-31,68,NA,NA,NA,68,NA,NA,NA
2020-06-01,74,NA,NA,NA,74,NA,NA,NA
2020-06-02,78,NA,NA,NA,78,NA,NA,NA
2020-06-03,79,NA,NA,NA,79,NA,NA,NA
2020-06-04,80,NA,NA,NA,80,NA,NA,NA
2020-06-05,84,NA,NA,NA,84,NA,NA,NA
2020-06-06,87,NA,NA,NA,87,NA,NA,NA
2020-06-07,92,NA,NA,NA,92,NA,NA,NA
2020-06-08,93,NA,NA,NA,93,NA,NA,NA
2020-06-09,95,NA,NA,NA,95,NA,NA,NA
2020-06-10,97,NA,NA,NA,97,NA,NA,NA
2020-06-11,99,NA,NA,NA,99,NA,NA,NA
2020-06-12,106,NA,NA,NA,106,NA,NA,NA
2020-06-13,109,NA,NA,NA,109,NA,NA,NA
2020-06-14,113,NA,NA,NA,113,NA,NA,NA
2020-06-15,114,NA,NA,NA,114,NA,NA,NA
2020-06-16,119,NA,NA,NA,119,NA,NA,NA
2020-06-17,129,NA,NA,NA,129,NA,NA,NA
2020-06-18,132,NA,NA,NA,132,NA,NA,NA
2020-06-19,139,NA,NA,NA,139,NA,NA,NA
2020-06-20,146,NA,NA,NA,146,NA,NA,NA
2020-06-21,158,NA,NA,NA,158,NA,NA,NA
2020-06-22,171,NA,NA,NA,171,NA,NA,NA
2020-06-23,181,NA,NA,NA,181,NA,NA,NA
2020-06-24,190,NA,NA,NA,190,NA,NA,NA
2020-06-25,203,NA,NA,NA,203,NA,NA,NA
