"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,26,NA,NA,NA,26,NA,NA,NA
2020-03-22,29,NA,NA,NA,29,NA,NA,NA
2020-03-29,34,NA,NA,NA,34,NA,NA,NA
2020-04-05,37,NA,NA,NA,37,NA,NA,NA
2020-04-12,45,NA,NA,NA,45,NA,NA,NA
2020-04-19,59,NA,NA,NA,59,NA,NA,NA
2020-04-26,75,NA,NA,NA,75,NA,NA,NA
2020-05-03,109,NA,NA,NA,109,NA,NA,NA
2020-05-10,154,NA,NA,NA,154,NA,NA,NA
2020-05-17,213,NA,NA,NA,213,NA,NA,NA
2020-05-24,280,NA,NA,NA,280,NA,NA,NA
2020-05-31,339,NA,NA,NA,339,NA,NA,NA
2020-06-07,447,NA,NA,NA,447,NA,NA,NA
2020-06-14,567,NA,NA,NA,567,NA,NA,NA
2020-06-21,676,NA,NA,NA,676,NA,NA,NA
2020-06-28,744,NA,NA,NA,744,NA,NA,NA
2020-07-05,819,NA,NA,NA,819,NA,NA,NA
2020-07-12,933,NA,NA,NA,933,NA,NA,NA
2020-07-19,1029,NA,NA,NA,1029,NA,NA,NA
2020-07-26,1125,NA,NA,NA,1125,NA,NA,NA
2020-08-02,1204,NA,NA,NA,1204,NA,NA,NA
2020-08-09,1273,NA,NA,NA,1273,NA,NA,NA
2020-08-16,1348,NA,NA,NA,1348,NA,NA,NA
2020-08-23,1428,NA,NA,NA,1428,NA,NA,NA
2020-08-30,1508,NA,NA,NA,1508,NA,NA,NA
2020-09-06,1583,NA,NA,NA,1583,NA,NA,NA
2020-09-13,1638,NA,NA,NA,1638,NA,NA,NA
2020-09-20,1684,NA,NA,NA,1684,NA,NA,NA
2020-09-27,1722,NA,NA,NA,1722,NA,NA,NA
2020-10-04,1772,NA,NA,NA,1772,NA,NA,NA
2020-10-11,1811,NA,NA,NA,1811,NA,NA,NA
2020-10-18,1831,NA,NA,NA,1831,NA,NA,NA
2020-10-25,1853,NA,NA,NA,1853,NA,NA,NA
2020-11-01,1870,NA,NA,NA,1870,NA,NA,NA
2020-11-08,1891,NA,NA,NA,1891,NA,NA,NA
2020-11-15,1915,NA,NA,NA,1915,NA,NA,NA
2020-11-22,1949,NA,NA,NA,1949,NA,NA,NA
2020-11-29,1990,NA,NA,NA,1990,NA,NA,NA
2020-12-06,2036,NA,NA,NA,2036,NA,NA,NA
2020-12-13,2096,NA,NA,NA,2096,NA,NA,NA
2020-12-20,2153,NA,NA,NA,2153,NA,NA,NA
2020-12-27,2201,NA,NA,NA,2201,NA,NA,NA
2021-01-03,2265,NA,NA,NA,2265,NA,NA,NA
2021-01-10,2345,NA,NA,NA,2345,NA,NA,NA
2021-01-17,2426,NA,NA,NA,2426,NA,NA,NA
2021-01-24,2525,NA,NA,NA,2525,NA,NA,NA
2021-01-31,2666,NA,NA,NA,2666,NA,NA,NA
2021-02-07,2820,NA,NA,NA,2820,NA,NA,NA
2021-02-14,2956,NA,NA,NA,2956,NA,NA,NA
2021-02-21,3115,NA,NA,NA,3115,NA,NA,NA
2021-02-28,3299,NA,NA,NA,3299,NA,NA,NA
2021-03-07,3513,NA,NA,NA,3513,NA,NA,NA
2021-03-14,3789,NA,NA,NA,3789,NA,NA,NA
2021-03-21,4088,NA,NA,NA,4088,NA,NA,NA
2021-03-28,4354,NA,NA,NA,4354,NA,NA,NA
2021-04-04,4646,NA,NA,NA,4646,NA,NA,NA
2021-04-11,4885,NA,NA,NA,4885,NA,NA,NA
2021-04-18,5106,NA,NA,NA,5106,NA,NA,NA
2021-04-25,5263,NA,NA,NA,5263,NA,NA,NA
2021-05-02,5391,NA,NA,NA,5391,NA,NA,NA
2021-05-09,5497,NA,NA,NA,5497,NA,NA,NA
2021-05-16,5598,NA,NA,NA,5598,NA,NA,NA
2021-05-23,5690,NA,NA,NA,5690,NA,NA,NA
2021-05-30,5791,NA,NA,NA,5791,NA,NA,NA
2021-06-06,5874,NA,NA,NA,5874,NA,NA,NA
2021-06-13,5960,NA,NA,NA,5960,NA,NA,NA
2021-06-20,6029,NA,NA,NA,6029,NA,NA,NA
2021-06-27,6076,NA,NA,NA,6076,NA,NA,NA
2021-07-04,6133,NA,NA,NA,6133,NA,NA,NA
2021-07-11,6194,NA,NA,NA,6194,NA,NA,NA
2021-07-18,6237,NA,NA,NA,6237,NA,NA,NA
2021-07-25,6271,NA,NA,NA,6271,NA,NA,NA
2021-08-01,6303,NA,NA,NA,6303,NA,NA,NA
2021-08-08,6342,NA,NA,NA,6342,NA,NA,NA
2021-08-15,6370,NA,NA,NA,6370,NA,NA,NA
2021-08-22,6390,NA,NA,NA,6390,NA,NA,NA
2021-08-29,6400,NA,NA,NA,6400,NA,NA,NA
2021-09-05,6420,NA,NA,NA,6420,NA,NA,NA
2021-09-12,6439,NA,NA,NA,6439,NA,NA,NA
2021-09-19,6442,NA,NA,NA,6442,NA,NA,NA
2021-09-26,6453,NA,NA,NA,6453,NA,NA,NA
2021-10-03,6463,NA,NA,NA,6463,NA,NA,NA
2021-10-10,6472,NA,NA,NA,6472,NA,NA,NA
2021-10-17,6487,NA,NA,NA,6487,NA,NA,NA
2021-10-24,6493,NA,NA,NA,6493,NA,NA,NA
2021-10-31,6510,NA,NA,NA,6510,NA,NA,NA
2021-11-07,6519,NA,NA,NA,6519,NA,NA,NA
2021-11-14,6527,NA,NA,NA,6527,NA,NA,NA
2021-11-21,6552,NA,NA,NA,6552,NA,NA,NA
2021-11-28,6570,NA,NA,NA,6570,NA,NA,NA
2021-12-05,6592,NA,NA,NA,6592,NA,NA,NA
2021-12-12,6619,NA,NA,NA,6619,NA,NA,NA
2021-12-19,6647,NA,NA,NA,6647,NA,NA,NA
2021-12-26,6680,NA,NA,NA,6680,NA,NA,NA
2022-01-02,6701,NA,NA,NA,6701,NA,NA,NA
2022-01-09,6732,NA,NA,NA,6732,NA,NA,NA
2022-01-16,6757,NA,NA,NA,6757,NA,NA,NA
2022-01-23,6792,NA,NA,NA,6792,NA,NA,NA
2022-01-30,6823,NA,NA,NA,6823,NA,NA,NA
2022-02-06,6857,NA,NA,NA,6857,NA,NA,NA
2022-02-13,6910,NA,NA,NA,6910,NA,NA,NA
2022-02-20,6955,NA,NA,NA,6955,NA,NA,NA
2022-02-27,6988,NA,NA,NA,6988,NA,NA,NA
2022-03-06,7013,NA,NA,NA,7013,NA,NA,NA
2022-03-13,7025,NA,NA,NA,7025,NA,NA,NA
2022-03-20,7040,NA,NA,NA,7040,NA,NA,NA
2022-03-27,7054,NA,NA,NA,7054,NA,NA,NA
2022-04-03,7066,NA,NA,NA,7066,NA,NA,NA
2022-04-10,7070,NA,NA,NA,7070,NA,NA,NA
2022-04-17,7074,NA,NA,NA,7074,NA,NA,NA
2022-04-24,7083,NA,NA,NA,7083,NA,NA,NA
2022-05-01,7088,NA,NA,NA,7088,NA,NA,NA
2022-05-08,7091,NA,NA,NA,7091,NA,NA,NA
2022-05-15,7094,NA,NA,NA,7094,NA,NA,NA
2022-05-22,7095,NA,NA,NA,7095,NA,NA,NA
2022-05-29,7100,NA,NA,NA,7100,NA,NA,NA
2022-06-05,7102,NA,NA,NA,7102,NA,NA,NA
2022-06-12,7108,NA,NA,NA,7108,NA,NA,NA
2022-06-19,7115,NA,NA,NA,7115,NA,NA,NA
2022-06-26,7125,NA,NA,NA,7125,NA,NA,NA
2022-07-03,7136,NA,NA,NA,7136,NA,NA,NA
2022-07-10,7145,NA,NA,NA,7144,NA,NA,NA
2022-07-17,7153,7153,7148,7187,7148,7148,7148,7148
2022-07-24,NA,7162,7155,7202,NA,7148,7148,7148
