"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-18,2,NA,2,1.8,NA,NA
2020-03-19,1,NA,1,2,NA,NA
2020-03-20,5,NA,5,2.7,NA,NA
2020-03-21,1,NA,1,2.7,NA,NA
2020-03-22,2,NA,2,2.9,NA,NA
2020-03-23,1,NA,1,2.9,NA,NA
2020-03-24,3,NA,3,3,NA,NA
2020-03-25,8,NA,8,3.1,NA,NA
2020-03-26,3,NA,3,3.4,NA,NA
2020-03-27,3,NA,3,3.5,NA,NA
2020-03-28,2,NA,2,3.7,NA,NA
2020-03-29,2,NA,2,4.2,NA,NA
2020-03-30,6,NA,6,4.1,NA,NA
2020-03-31,4,NA,4,4,NA,NA
2020-04-01,3,NA,3,4,NA,NA
2020-04-03,3,NA,3,4.3,NA,NA
2020-04-04,8,NA,8,4.7,NA,NA
2020-04-05,7,NA,7,4.9,NA,NA
2020-04-06,2,NA,2,5,NA,NA
2020-04-07,3,NA,3,5.3,NA,NA
2020-04-08,5,NA,5,6.2,NA,NA
2020-04-09,6,NA,6,6,NA,NA
2020-04-10,8,NA,8,5.9,NA,NA
2020-04-11,5,NA,5,6.8,NA,NA
2020-04-12,6,NA,6,7.2,NA,NA
2020-04-13,12,NA,12,7.3,NA,NA
2020-04-14,6,NA,6,7.1,NA,NA
2020-04-15,6,NA,6,6.6,NA,NA
2020-04-16,11,NA,11,7.2,NA,NA
2020-04-17,7,NA,7,7.5,NA,NA
2020-04-18,6,NA,6,6.7,NA,NA
2020-04-19,4,NA,4,7,NA,NA
2020-04-20,3,NA,3,7,NA,NA
2020-04-21,11,NA,11,6.8,NA,NA
2020-04-22,9,NA,9,7.5,NA,NA
2020-04-23,4,NA,4,8.5,NA,NA
2020-04-24,9,NA,9,10,NA,NA
2020-04-25,6,NA,6,10.6,NA,NA
2020-04-26,9,NA,9,10.6,NA,NA
2020-04-27,14,NA,14,11.2,NA,NA
2020-04-28,16,NA,16,12,NA,NA
2020-04-29,19,NA,19,13.4,NA,NA
2020-04-30,9,NA,9,14.3,NA,NA
2020-05-01,11,NA,11,15.5,NA,NA
2020-05-02,15,NA,15,15.8,NA,NA
2020-05-03,12,NA,12,17.2,NA,NA
2020-05-04,23,NA,23,18.3,NA,NA
2020-05-05,15,NA,15,20.2,NA,NA
2020-05-06,21,NA,21,21.6,NA,NA
2020-05-07,17,NA,17,22.8,NA,NA
2020-05-08,30,NA,30,24.1,NA,NA
2020-05-09,30,NA,30,24.6,NA,NA
2020-05-10,28,NA,28,26.1,NA,NA
2020-05-11,25,NA,25,26.9,NA,NA
2020-05-12,27,NA,27,28.5,NA,NA
2020-05-13,25,NA,25,29.1,NA,NA
2020-05-14,28,NA,28,30.5,NA,NA
2020-05-15,30,NA,30,30.9,NA,NA
2020-05-16,29,NA,29,31.7,NA,NA
2020-05-17,33,NA,33,32.6,NA,NA
2020-05-18,36,NA,36,33.3,NA,NA
2020-05-19,44,NA,44,33.9,NA,NA
2020-05-20,32,NA,32,35.8,NA,NA
2020-05-21,33,NA,33,36.1,NA,NA
2020-05-22,36,NA,36,35.8,NA,NA
2020-05-23,32,NA,32,35.9,NA,NA
2020-05-24,34,NA,34,36,NA,NA
2020-05-25,49,NA,49,36.5,NA,NA
2020-05-26,32,NA,32,36.2,NA,NA
2020-05-27,30,NA,30,35.4,NA,NA
2020-05-28,37,NA,37,35,NA,NA
2020-05-29,45,NA,45,36.4,NA,NA
2020-05-30,37,NA,37,36.9,NA,NA
2020-05-31,30,NA,30,37.6,NA,NA
2020-06-01,28,NA,28,37.8,NA,NA
2020-06-02,28,NA,28,38.4,NA,NA
2020-06-03,48,NA,48,38.4,NA,NA
2020-06-04,54,NA,54,37.3,NA,NA
2020-06-05,39,NA,39,38.2,NA,NA
2020-06-06,32,NA,32,38.6,NA,NA
2020-06-07,43,NA,43,39.2,NA,NA
2020-06-08,45,NA,45,37.2,NA,NA
2020-06-09,26,NA,26,36.3,NA,NA
2020-06-10,39,NA,39,35.1,NA,NA
2020-06-11,32,NA,32,34.2,NA,NA
2020-06-12,34,NA,34,33.1,NA,NA
2020-06-13,28,NA,28,31.5,NA,NA
2020-06-14,45,NA,45,31.6,NA,NA
2020-06-15,27,NA,27,29.8,NA,NA
2020-06-16,23,NA,23,30.2,NA,NA
2020-06-17,32,NA,32,30,NA,NA
2020-06-18,29,NA,29,30.1,NA,NA
2020-06-19,27,NA,27,27.6,NA,NA
2020-06-20,21,NA,21,27.6,NA,NA
2020-06-21,36,NA,36,29.1,NA,NA
2020-06-22,32,NA,32,28,NA,NA
2020-06-23,29,NA,29,28.4,NA,NA
2020-06-24,20,NA,20,27.6,NA,NA
2020-06-25,27,NA,27,28.1,NA,NA
2020-06-26,38,NA,38,27.3,NA,NA
2020-06-27,21,NA,21,26.8,NA,NA
2020-06-28,33,NA,33,26.7,NA,NA
2020-06-29,19,NA,19,26.7,NA,NA
2020-06-30,26,NA,26,26.4,NA,NA
2020-07-01,28,NA,28,24.6,NA,NA
2020-07-02,27,NA,27,24.8,NA,NA
2020-07-03,28,NA,28,23.5,NA,NA
2020-07-04,20,NA,20,24.1,NA,NA
2020-07-05,24,NA,24,23.9,NA,NA
2020-07-06,20,NA,20,23.4,NA,NA
2020-07-07,23,NA,23,22.8,NA,NA
2020-07-08,20,NA,20,22.2,NA,NA
2020-07-09,25,NA,25,23.1,NA,NA
2020-07-10,24,NA,24,23.1,NA,NA
2020-07-11,23,NA,23,23.6,NA,NA
2020-07-12,21,NA,21,23.7,NA,NA
2020-07-13,22,NA,22,23.6,NA,NA
2020-07-14,29,NA,29,23.8,NA,NA
2020-07-15,24,NA,24,23,NA,NA
2020-07-16,25,NA,25,23,NA,NA
2020-07-17,24,NA,24,23.1,NA,NA
2020-07-18,19,NA,19,23.6,NA,NA
2020-07-19,27,NA,27,22.8,NA,NA
2020-07-20,16,NA,16,22.5,NA,NA
2020-07-21,23,NA,23,21.6,NA,NA
2020-07-22,22,NA,22,20.9,NA,NA
2020-07-23,27,NA,27,20.5,NA,NA
2020-07-24,21,NA,21,20.1,NA,NA
2020-07-25,21,NA,21,21.1,NA,NA
2020-07-26,16,NA,16,20.7,NA,NA
2020-07-27,17,NA,17,20.1,NA,NA
2020-07-28,15,NA,15,18.8,NA,NA
2020-07-29,23,NA,23,19.1,NA,NA
2020-07-30,26,NA,26,19.6,NA,NA
2020-07-31,19,NA,19,18.9,NA,NA
2020-08-01,16,NA,16,19.3,NA,NA
2020-08-02,14,NA,14,19.8,NA,NA
2020-08-03,24,NA,24,19.7,NA,NA
2020-08-04,26,NA,26,19.8,NA,NA
2020-08-05,9,NA,9,20.5,NA,NA
2020-08-06,21,NA,21,20.9,NA,NA
2020-08-07,20,NA,20,20.8,NA,NA
2020-08-08,22,NA,22,20.5,NA,NA
2020-08-09,27,NA,27,19.6,NA,NA
2020-08-10,26,NA,26,20.2,NA,NA
2020-08-11,20,NA,20,19.8,NA,NA
2020-08-12,13,NA,13,19.3,NA,NA
2020-08-13,21,NA,21,19.3,NA,NA
2020-08-14,17,NA,17,19.2,NA,NA
2020-08-15,15,NA,15,18.3,NA,NA
2020-08-16,17,NA,17,18.1,NA,NA
2020-08-17,15,NA,15,18.7,NA,NA
2020-08-18,22,NA,22,17.7,NA,NA
2020-08-19,26,NA,26,17.7,NA,NA
2020-08-20,17,NA,17,17.8,NA,NA
2020-08-21,18,NA,18,17.4,NA,NA
2020-08-22,20,NA,19,17.5,NA,NA
2020-08-23,NA,11,11,16.7,11,11
2020-08-24,NA,17,17,15.2,17,17
2020-08-25,NA,16,16,16.1,16,16
2020-08-26,NA,13,13,15.2,13,13
2020-08-27,NA,16,16,13.8,16,16
2020-08-28,NA,14,14,13.6,14,14
