"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,43,NA,NA,NA,43,NA,NA,NA
2020-03-16,53,NA,NA,NA,53,NA,NA,NA
2020-03-17,66,NA,NA,NA,66,NA,NA,NA
2020-03-18,76,NA,NA,NA,76,NA,NA,NA
2020-03-19,88,NA,NA,NA,88,NA,NA,NA
2020-03-20,104,NA,NA,NA,104,NA,NA,NA
2020-03-21,119,NA,NA,NA,119,NA,NA,NA
2020-03-22,126,NA,NA,NA,126,NA,NA,NA
2020-03-23,149,NA,NA,NA,149,NA,NA,NA
2020-03-24,163,NA,NA,NA,163,NA,NA,NA
2020-03-25,175,NA,NA,NA,175,NA,NA,NA
2020-03-26,192,NA,NA,NA,192,NA,NA,NA
2020-03-27,210,NA,NA,NA,210,NA,NA,NA
2020-03-28,225,NA,NA,NA,225,NA,NA,NA
2020-03-29,238,NA,NA,NA,238,NA,NA,NA
2020-03-30,250,NA,NA,NA,250,NA,NA,NA
2020-03-31,265,NA,NA,NA,265,NA,NA,NA
2020-04-01,283,NA,NA,NA,283,NA,NA,NA
2020-04-02,297,NA,NA,NA,297,NA,NA,NA
2020-04-03,304,NA,NA,NA,304,NA,NA,NA
2020-04-04,315,NA,NA,NA,315,NA,NA,NA
2020-04-05,329,NA,NA,NA,329,NA,NA,NA
2020-04-06,337,NA,NA,NA,337,NA,NA,NA
2020-04-07,347,NA,NA,NA,347,NA,NA,NA
2020-04-08,361,NA,NA,NA,361,NA,NA,NA
2020-04-09,381,NA,NA,NA,381,NA,NA,NA
2020-04-10,400,NA,NA,NA,400,NA,NA,NA
2020-04-11,417,NA,NA,NA,417,NA,NA,NA
2020-04-12,434,NA,NA,NA,434,NA,NA,NA
2020-04-13,455,NA,NA,NA,455,NA,NA,NA
2020-04-14,471,NA,NA,NA,471,NA,NA,NA
2020-04-15,485,NA,NA,NA,485,NA,NA,NA
2020-04-16,504,NA,NA,NA,504,NA,NA,NA
2020-04-17,516,NA,NA,NA,516,NA,NA,NA
2020-04-18,537,NA,NA,NA,537,NA,NA,NA
2020-04-19,554,NA,NA,NA,554,NA,NA,NA
2020-04-20,577,NA,NA,NA,577,NA,NA,NA
2020-04-21,592,NA,NA,NA,592,NA,NA,NA
2020-04-22,615,NA,NA,NA,615,NA,NA,NA
2020-04-23,631,NA,NA,NA,631,NA,NA,NA
2020-04-24,661,NA,NA,NA,661,NA,NA,NA
2020-04-25,684,NA,NA,NA,684,NA,NA,NA
