"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,16,NA,NA,NA,16,NA,NA,NA
2020-03-16,17,NA,NA,NA,17,NA,NA,NA
2020-03-17,23,NA,NA,NA,23,NA,NA,NA
2020-03-18,28,NA,NA,NA,28,NA,NA,NA
2020-03-19,36,NA,NA,NA,36,NA,NA,NA
2020-03-20,44,NA,NA,NA,44,NA,NA,NA
2020-03-21,54,NA,NA,NA,54,NA,NA,NA
2020-03-22,61,NA,NA,NA,61,NA,NA,NA
2020-03-23,70,NA,NA,NA,70,NA,NA,NA
2020-03-24,79,NA,NA,NA,79,NA,NA,NA
2020-03-25,86,NA,NA,NA,86,NA,NA,NA
2020-03-26,90,NA,NA,NA,90,NA,NA,NA
2020-03-27,102,NA,NA,NA,102,NA,NA,NA
2020-03-28,110,NA,NA,NA,110,NA,NA,NA
2020-03-29,118,NA,NA,NA,118,NA,NA,NA
2020-03-30,124,NA,NA,NA,124,NA,NA,NA
2020-03-31,131,NA,NA,NA,131,NA,NA,NA
2020-04-01,148,NA,NA,NA,148,NA,NA,NA
2020-04-02,160,NA,NA,NA,160,NA,NA,NA
2020-04-03,165,NA,NA,NA,165,NA,NA,NA
2020-04-04,168,NA,NA,NA,168,NA,NA,NA
2020-04-05,172,NA,NA,NA,172,NA,NA,NA
2020-04-06,180,NA,NA,NA,180,NA,NA,NA
2020-04-07,189,NA,NA,NA,189,NA,NA,NA
2020-04-08,198,NA,NA,NA,198,NA,NA,NA
2020-04-09,209,NA,NA,NA,209,NA,NA,NA
2020-04-10,224,NA,NA,NA,224,NA,NA,NA
2020-04-11,234,NA,NA,NA,234,NA,NA,NA
2020-04-12,240,NA,NA,NA,240,NA,NA,NA
2020-04-13,252,NA,NA,NA,252,NA,NA,NA
2020-04-14,266,NA,NA,NA,266,NA,NA,NA
2020-04-15,281,NA,NA,NA,281,NA,NA,NA
2020-04-16,288,NA,NA,NA,288,NA,NA,NA
2020-04-17,310,NA,NA,NA,310,NA,NA,NA
2020-04-18,319,NA,NA,NA,319,NA,NA,NA
2020-04-19,342,NA,NA,NA,342,NA,NA,NA
