"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-29,3,NA,NA,NA,3,NA,NA,NA
2020-04-05,13,NA,NA,NA,13,NA,NA,NA
2020-04-12,17,NA,NA,NA,17,NA,NA,NA
2020-04-19,25,NA,NA,NA,25,NA,NA,NA
2020-04-26,30,NA,NA,NA,30,NA,NA,NA
2020-05-03,35,NA,NA,NA,35,NA,NA,NA
2020-05-10,47,NA,NA,NA,47,NA,NA,NA
2020-05-17,66,NA,NA,NA,66,NA,NA,NA
2020-05-24,111,NA,NA,NA,111,NA,NA,NA
2020-05-31,179,NA,NA,NA,179,NA,NA,NA
2020-06-07,259,NA,NA,NA,259,NA,NA,NA
2020-06-14,365,NA,NA,NA,365,NA,NA,NA
2020-06-21,501,NA,NA,NA,501,NA,NA,NA
2020-06-28,645,NA,NA,NA,645,NA,NA,NA
2020-07-05,818,NA,NA,NA,818,NA,NA,NA
2020-07-12,1019,NA,NA,NA,1019,NA,NA,NA
2020-07-19,1247,NA,NA,NA,1247,NA,NA,NA
2020-07-26,1483,NA,NA,NA,1483,NA,NA,NA
2020-08-02,1714,NA,NA,NA,1714,NA,NA,NA
2020-08-09,1961,NA,NA,NA,1961,NA,NA,NA
2020-08-16,2237,NA,NA,NA,2237,NA,NA,NA
2020-08-23,2446,NA,NA,NA,2446,NA,NA,NA
2020-08-30,2614,NA,NA,NA,2614,NA,NA,NA
2020-09-06,2781,NA,NA,NA,2781,NA,NA,NA
2020-09-13,2929,NA,NA,NA,2929,NA,NA,NA
2020-09-20,3055,NA,NA,NA,3055,NA,NA,NA
2020-09-27,3163,NA,NA,NA,3163,NA,NA,NA
2020-10-04,3279,NA,NA,NA,3279,NA,NA,NA
2020-10-11,3370,NA,NA,NA,3370,NA,NA,NA
2020-10-18,3446,NA,NA,NA,3446,NA,NA,NA
2020-10-25,3508,NA,NA,NA,3508,NA,NA,NA
2020-11-01,3582,NA,NA,NA,3582,NA,NA,NA
2020-11-08,3647,NA,NA,NA,3647,NA,NA,NA
2020-11-15,3699,NA,NA,NA,3699,NA,NA,NA
2020-11-22,3765,NA,NA,NA,3765,NA,NA,NA
2020-11-29,3808,NA,NA,NA,3808,NA,NA,NA
2020-12-06,3849,NA,NA,NA,3849,NA,NA,NA
2020-12-13,3898,NA,NA,NA,3898,NA,NA,NA
2020-12-20,3964,NA,NA,NA,3964,NA,NA,NA
2020-12-27,4029,NA,NA,NA,4029,NA,NA,NA
2021-01-03,4091,NA,NA,NA,4091,NA,NA,NA
2021-01-10,4162,NA,NA,NA,4162,NA,NA,NA
2021-01-17,4240,NA,NA,NA,4240,NA,NA,NA
2021-01-24,4305,NA,NA,NA,4305,NA,NA,NA
2021-01-31,4367,NA,NA,NA,4367,NA,NA,NA
2021-02-07,4422,NA,NA,NA,4422,NA,NA,NA
2021-02-14,4479,NA,NA,NA,4479,NA,NA,NA
2021-02-21,4540,NA,NA,NA,4540,NA,NA,NA
2021-02-28,4631,NA,NA,NA,4631,NA,NA,NA
2021-03-07,4759,NA,NA,NA,4759,NA,NA,NA
2021-03-14,4983,NA,NA,NA,4983,NA,NA,NA
2021-03-21,5296,NA,NA,NA,5296,NA,NA,NA
2021-03-28,5752,NA,NA,NA,5752,NA,NA,NA
2021-04-04,6184,NA,NA,NA,6184,NA,NA,NA
2021-04-11,6600,NA,NA,NA,6600,NA,NA,NA
2021-04-18,7010,NA,NA,NA,7010,NA,NA,NA
2021-04-25,7334,NA,NA,NA,7334,NA,NA,NA
2021-05-02,7571,NA,NA,NA,7571,NA,NA,NA
2021-05-09,7787,NA,NA,NA,7787,NA,NA,NA
2021-05-16,7949,NA,NA,NA,7949,NA,NA,NA
2021-05-23,8090,NA,NA,NA,8090,NA,NA,NA
2021-05-30,8260,NA,NA,NA,8260,NA,NA,NA
2021-06-06,8406,NA,NA,NA,8406,NA,NA,NA
2021-06-13,8552,NA,NA,NA,8552,NA,NA,NA
2021-06-20,8661,NA,NA,NA,8661,NA,NA,NA
2021-06-27,8753,NA,NA,NA,8753,NA,NA,NA
2021-07-04,8846,NA,NA,NA,8846,NA,NA,NA
2021-07-11,8928,NA,NA,NA,8928,NA,NA,NA
2021-07-18,9010,NA,NA,NA,9010,NA,NA,NA
2021-07-25,9075,NA,NA,NA,9075,NA,NA,NA
2021-08-01,9148,NA,NA,NA,9148,NA,NA,NA
