dt_int,observed,estimate,upper,lower
2020-03-18,1,1,1,1
2020-03-19,1,1,1,1
2020-03-22,1,1,1,1
2020-03-23,1,1,1,1
2020-03-24,3,3,3,3
2020-03-25,4,4,4,4
2020-03-26,1,1,1,1
2020-03-27,2,2,2,2
2020-03-28,5,5,5,5
2020-03-29,4,4,4,4
2020-03-30,9,9,9,9
2020-03-31,3,3,3,3
2020-04-01,7,7,7,7
2020-04-02,4,4,4,4
2020-04-03,5,5,5,5
2020-04-04,4,4,4,4
2020-04-05,2,2,2,2
2020-04-06,6,6,6,6
2020-04-07,5,5,5,5
2020-04-08,5,5,5,5
2020-04-09,6,6,6,6
2020-04-10,1,1,1,1
2020-04-11,3,3,3,3
2020-04-12,3,3,3,3
2020-04-13,2,2,2,2
2020-04-14,3,3,3,3
2020-04-15,5,5,5,5
2020-04-16,1,1,1,1
2020-04-17,1,1,1,1
2020-04-18,1,1,1,1
2020-04-19,1,1,1,1
2020-04-21,7,7,7,7
2020-04-22,5,5,5,5
2020-04-23,3,3,3,3
2020-04-24,8,8,8,8
2020-04-25,7,7,7,7
2020-04-26,7,7,7,7
2020-04-27,10,10,10,10
2020-04-28,8,8,8,8
2020-04-29,4,4,4,4
2020-04-30,6,6,6,6
2020-05-01,1,1,1,1
2020-05-02,3,3,3,3
2020-05-03,7,7,7,7
2020-05-04,6,6,6,6
2020-05-05,6,6,6,6
2020-05-06,11,11,11,11
2020-05-07,5,5,7,5
2020-05-08,4,4,5,4
2020-05-09,11,11,11,11
2020-05-10,14,14,16,14
2020-05-11,7,7,8,7
2020-05-12,9,9,14,9
2020-05-13,7,7,11,7
2020-05-14,8,8,12,8
2020-05-15,4,4,8,4
2020-05-16,3,3,3,3
2020-05-17,11,11,16,11
2020-05-18,10,10,18,10
2020-05-19,10,10,15,10
2020-05-20,8,8,14,8
2020-05-21,13,13,16,13
2020-05-22,8,8,12,8
2020-05-23,8,8,11,8
2020-05-24,10,10,19,10
2020-05-25,8,8,15,8
2020-05-26,10,10,14,10
2020-05-27,8,8,14,8
2020-05-28,12,12,19,12
2020-05-29,17,17,31,17
2020-05-30,15,15,28,15
2020-05-31,11,12,24,11
2020-06-01,17,17,27,17
2020-06-02,9,9,21,9
2020-06-03,10,11,27,10
2020-06-04,13,17,24,13
2020-06-05,12,13,33,12
2020-06-06,10,17,34,10
2020-06-07,12,15,27,12
2020-06-08,8,15,33,8
2020-06-09,6,14,24,6
2020-06-10,3,5,38,3
2020-06-11,1,5,20,1
2020-06-12,2,7,32,2
2020-06-13,3,6,24,3
2020-06-14,NA,4,22,NA
2020-06-15,NA,7,15,NA
2020-06-16,NA,3,17,NA
2020-06-17,NA,4,12,NA
2020-06-18,NA,NA,5,NA
