"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,71,NA,NA,NA,71,NA,NA,NA
2020-03-16,82,NA,NA,NA,82,NA,NA,NA
2020-03-17,99,NA,NA,NA,99,NA,NA,NA
2020-03-18,111,NA,NA,NA,111,NA,NA,NA
2020-03-19,120,NA,NA,NA,120,NA,NA,NA
2020-03-20,136,NA,NA,NA,136,NA,NA,NA
2020-03-21,149,NA,NA,NA,149,NA,NA,NA
2020-03-22,161,NA,NA,NA,161,NA,NA,NA
2020-03-23,178,NA,NA,NA,178,NA,NA,NA
2020-03-24,184,NA,NA,NA,184,NA,NA,NA
2020-03-25,194,NA,NA,NA,194,NA,NA,NA
2020-03-26,216,NA,NA,NA,216,NA,NA,NA
2020-03-27,232,NA,NA,NA,232,NA,NA,NA
2020-03-28,244,NA,NA,NA,244,NA,NA,NA
2020-03-29,263,NA,NA,NA,263,NA,NA,NA
2020-03-30,277,NA,NA,NA,277,NA,NA,NA
2020-03-31,285,NA,NA,NA,285,NA,NA,NA
2020-04-01,313,NA,NA,NA,313,NA,NA,NA
2020-04-02,326,NA,NA,NA,326,NA,NA,NA
2020-04-03,340,NA,NA,NA,340,NA,NA,NA
2020-04-04,358,NA,NA,NA,358,NA,NA,NA
2020-04-05,370,NA,NA,NA,370,NA,NA,NA
2020-04-06,388,NA,NA,NA,388,NA,NA,NA
2020-04-07,404,NA,NA,NA,404,NA,NA,NA
2020-04-08,415,NA,NA,NA,415,NA,NA,NA
2020-04-09,428,NA,NA,NA,428,NA,NA,NA
2020-04-10,443,NA,NA,NA,443,NA,NA,NA
2020-04-11,458,NA,NA,NA,458,NA,NA,NA
2020-04-12,471,NA,NA,NA,471,NA,NA,NA
2020-04-13,494,NA,NA,NA,494,NA,NA,NA
2020-04-14,515,NA,NA,NA,515,NA,NA,NA
2020-04-15,536,NA,NA,NA,536,NA,NA,NA
2020-04-16,551,NA,NA,NA,551,NA,NA,NA
2020-04-17,567,NA,NA,NA,567,NA,NA,NA
2020-04-18,587,NA,NA,NA,587,NA,NA,NA
2020-04-19,597,NA,NA,NA,597,NA,NA,NA
2020-04-20,624,NA,NA,NA,624,NA,NA,NA
2020-04-21,649,NA,NA,NA,649,NA,NA,NA
2020-04-22,678,NA,NA,NA,678,NA,NA,NA
2020-04-23,699,NA,NA,NA,699,NA,NA,NA
2020-04-24,723,NA,NA,NA,723,NA,NA,NA
2020-04-25,750,NA,NA,NA,750,NA,NA,NA
2020-04-26,763,NA,NA,NA,763,NA,NA,NA
2020-04-27,790,NA,NA,NA,790,NA,NA,NA
2020-04-28,814,NA,NA,NA,814,NA,NA,NA
2020-04-29,827,NA,NA,NA,827,NA,NA,NA
2020-04-30,855,NA,NA,NA,855,NA,NA,NA
2020-05-01,876,NA,NA,NA,876,NA,NA,NA
2020-05-02,894,NA,NA,NA,894,NA,NA,NA
2020-05-03,920,NA,NA,NA,920,NA,NA,NA
2020-05-04,945,NA,NA,NA,945,NA,NA,NA
2020-05-05,968,NA,NA,NA,968,NA,NA,NA
2020-05-06,987,NA,NA,NA,987,NA,NA,NA
2020-05-07,1008,NA,NA,NA,1008,NA,NA,NA
2020-05-08,1039,NA,NA,NA,1039,NA,NA,NA
2020-05-09,1068,NA,NA,NA,1068,NA,NA,NA
2020-05-10,1097,NA,NA,NA,1097,NA,NA,NA
2020-05-11,1136,NA,NA,NA,1136,NA,NA,NA
