"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,4,NA,4,NA,NA,NA
2020-03-22,17,NA,17,NA,NA,NA
2020-03-29,29,NA,29,NA,NA,NA
2020-04-05,29,NA,29,NA,NA,NA
2020-04-12,16,NA,16,NA,NA,NA
2020-04-19,27,NA,27,NA,NA,NA
2020-04-26,41,NA,41,NA,NA,NA
2020-05-03,50,NA,50,NA,NA,NA
2020-05-10,57,NA,57,NA,NA,NA
2020-05-17,72,NA,72,NA,NA,NA
2020-05-24,71,NA,71,NA,NA,NA
2020-05-31,109,NA,109,NA,NA,NA
2020-06-07,120,NA,120,NA,NA,NA
2020-06-14,117,NA,117,NA,NA,NA
2020-06-21,110,NA,110,NA,NA,NA
2020-06-28,125,NA,125,NA,NA,NA
2020-07-05,134,NA,134,NA,NA,NA
2020-07-12,167,NA,167,NA,NA,NA
2020-07-19,176,NA,176,NA,NA,NA
2020-07-26,161,NA,161,NA,NA,NA
2020-08-02,150,NA,150,NA,NA,NA
2020-08-09,136,NA,136,NA,NA,NA
2020-08-16,157,NA,157,NA,NA,NA
2020-08-23,146,NA,146,NA,NA,NA
2020-08-30,152,NA,152,NA,NA,NA
2020-09-06,147,NA,147,NA,NA,NA
2020-09-13,157,NA,157,NA,NA,NA
2020-09-20,144,NA,144,NA,NA,NA
2020-09-27,138,NA,138,NA,NA,NA
2020-10-04,152,NA,152,NA,NA,NA
2020-10-11,115,NA,115,NA,NA,NA
2020-10-18,105,NA,105,NA,NA,NA
2020-10-25,74,NA,74,NA,NA,NA
2020-11-01,75,NA,75,NA,NA,NA
2020-11-08,77,NA,77,NA,NA,NA
2020-11-15,136,NA,136,NA,NA,NA
2020-11-22,112,NA,112,NA,NA,NA
2020-11-29,129,NA,129,NA,NA,NA
2020-12-06,NA,135,135,NA,135,136
2020-12-13,NA,119,119,NA,119,120
2020-12-20,NA,162,162,NA,161,165
2020-12-27,NA,217,217,NA,214,221
2021-01-03,NA,255,255,NA,249,262
2021-01-10,NA,273,273,NA,263,286
2021-01-17,NA,233,233,NA,215,254
2021-01-24,NA,294,294,NA,249,347
2021-01-31,NA,267,267,NA,173,398
