"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-22,1,NA,1,1.85714285714286,NA,NA
2020-04-12,2,NA,2,2.125,NA,NA
2020-04-19,2,NA,2,2,NA,NA
2020-05-10,2,NA,2,2.2,NA,NA
2020-05-17,2,NA,2,2.6,NA,NA
2020-05-24,3,NA,3,2.7,NA,NA
2020-05-31,4,NA,4,3,NA,NA
2020-06-07,1,NA,1,3.5,NA,NA
2020-06-14,4,NA,4,3.8,NA,NA
2020-06-21,5,NA,5,4.5,NA,NA
2020-06-28,2,NA,2,5.3,NA,NA
2020-07-05,5,NA,5,5.4,NA,NA
2020-07-12,7,NA,7,5.8,NA,NA
2020-07-19,5,NA,5,6,NA,NA
2020-07-26,9,NA,9,6,NA,NA
2020-08-02,11,NA,11,6.7,NA,NA
2020-08-09,5,NA,5,6.6,NA,NA
2020-08-16,5,NA,5,7,NA,NA
2020-08-23,6,NA,6,6.8,NA,NA
2020-08-30,5,NA,5,6.2,NA,NA
2020-09-06,9,NA,9,5.9,NA,NA
2020-09-13,NA,4,4,5.8,4,6
2020-09-20,NA,11,11,5.7,11,13
2020-09-27,NA,3,3,5.2,3,5
2020-10-04,NA,3,3,5.2,3,5
2020-10-11,NA,8,8,4.77777777777778,8,11
2020-10-18,NA,4,4,4.875,4,6
2020-10-25,NA,4,4,4,4,7
2020-11-01,NA,1,1,4.16666666666667,1,4
2020-11-08,NA,5,5,4.4,4,9
