"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,26,NA,NA,NA,26,NA,NA,NA
2020-03-22,56,NA,NA,NA,56,NA,NA,NA
2020-03-29,102,NA,NA,NA,102,NA,NA,NA
2020-04-05,129,NA,NA,NA,129,NA,NA,NA
2020-04-12,170,NA,NA,NA,170,NA,NA,NA
2020-04-19,213,NA,NA,NA,213,NA,NA,NA
2020-04-26,259,NA,NA,NA,259,NA,NA,NA
2020-05-03,310,NA,NA,NA,310,NA,NA,NA
2020-05-10,351,NA,NA,NA,351,NA,NA,NA
2020-05-17,405,NA,NA,NA,405,NA,NA,NA
2020-05-24,459,NA,NA,NA,459,NA,NA,NA
2020-05-31,501,NA,NA,NA,501,NA,NA,NA
2020-06-07,550,NA,NA,NA,550,NA,NA,NA
2020-06-14,598,NA,NA,NA,598,NA,NA,NA
2020-06-21,635,NA,NA,NA,635,NA,NA,NA
2020-06-28,681,NA,NA,NA,681,NA,NA,NA
2020-07-05,740,NA,NA,NA,740,NA,NA,NA
2020-07-12,789,NA,NA,NA,789,NA,NA,NA
2020-07-19,831,NA,NA,NA,831,NA,NA,NA
2020-07-26,864,NA,NA,NA,864,NA,NA,NA
2020-08-02,891,NA,NA,NA,891,NA,NA,NA
2020-08-09,922,NA,NA,NA,922,NA,NA,NA
2020-08-16,961,NA,NA,NA,961,NA,NA,NA
2020-08-23,1009,NA,NA,NA,1009,NA,NA,NA
2020-08-30,1048,NA,NA,NA,1048,NA,NA,NA
2020-09-06,1090,NA,NA,NA,1090,NA,NA,NA
2020-09-13,1115,NA,NA,NA,1115,NA,NA,NA
2020-09-20,1153,NA,NA,NA,1153,NA,NA,NA
2020-09-27,1188,NA,NA,NA,1188,NA,NA,NA
2020-10-04,1233,NA,NA,NA,1233,NA,NA,NA
2020-10-11,1263,NA,NA,NA,1263,NA,NA,NA
2020-10-18,1307,NA,NA,NA,1307,NA,NA,NA
2020-10-25,1363,NA,NA,NA,1363,NA,NA,NA
2020-11-01,1406,NA,NA,NA,1406,NA,NA,NA
2020-11-08,1467,NA,NA,NA,1467,NA,NA,NA
2020-11-15,1543,NA,NA,NA,1543,NA,NA,NA
2020-11-22,1587,NA,NA,NA,1587,NA,NA,NA
2020-11-29,1660,NA,NA,NA,1660,NA,NA,NA
2020-12-06,1720,NA,NA,NA,1720,NA,NA,NA
2020-12-13,1783,NA,NA,NA,1783,NA,NA,NA
2020-12-20,1829,NA,NA,NA,1829,NA,NA,NA
2020-12-27,1875,NA,NA,NA,1875,NA,NA,NA
2021-01-03,1933,NA,NA,NA,1933,NA,NA,NA
2021-01-10,1988,NA,NA,NA,1988,NA,NA,NA
2021-01-17,2045,NA,NA,NA,2045,NA,NA,NA
2021-01-24,2087,NA,NA,NA,2087,NA,NA,NA
2021-01-31,2140,NA,NA,NA,2140,NA,NA,NA
2021-02-07,2187,NA,NA,NA,2187,NA,NA,NA
2021-02-14,2263,NA,NA,NA,2263,NA,NA,NA
2021-02-21,2350,NA,NA,NA,2350,NA,NA,NA
2021-02-28,2440,NA,NA,NA,2440,NA,NA,NA
2021-03-07,2560,NA,NA,NA,2560,NA,NA,NA
2021-03-14,2698,NA,NA,NA,2698,NA,NA,NA
2021-03-21,2801,NA,NA,NA,2801,NA,NA,NA
2021-03-28,2892,NA,NA,NA,2892,NA,NA,NA
2021-04-04,2945,NA,NA,NA,2945,NA,NA,NA
2021-04-11,3012,NA,NA,NA,3012,NA,NA,NA
2021-04-18,3066,NA,NA,NA,3066,NA,NA,NA
2021-04-25,3122,NA,NA,NA,3122,NA,NA,NA
2021-05-02,3173,NA,NA,NA,3173,NA,NA,NA
2021-05-09,3245,NA,NA,NA,3245,NA,NA,NA
2021-05-16,3283,NA,NA,NA,3283,NA,NA,NA
2021-05-23,3342,NA,NA,NA,3342,NA,NA,NA
2021-05-30,3422,NA,NA,NA,3417,NA,NA,NA
2021-06-06,3518,NA,NA,NA,3505,NA,NA,NA
2021-06-13,3566,NA,NA,NA,3547,NA,NA,NA
2021-06-20,3613,NA,NA,NA,3590,NA,NA,NA
2021-06-27,3650,NA,NA,NA,3620,NA,NA,NA
2021-07-04,3701,NA,NA,NA,3648,NA,NA,NA
2021-07-11,3744,3744,3666,3872,3668,3668,3668,3668
2021-07-18,NA,3793,3694,3959,NA,3670,3669,3671
