"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-29,1,NA,NA,NA,1,NA,NA,NA
2020-04-05,12,NA,NA,NA,12,NA,NA,NA
2020-04-12,46,NA,NA,NA,46,NA,NA,NA
2020-04-19,126,NA,NA,NA,126,NA,NA,NA
2020-04-26,291,NA,NA,NA,291,NA,NA,NA
2020-05-03,504,NA,NA,NA,504,NA,NA,NA
2020-05-10,678,NA,NA,NA,678,NA,NA,NA
2020-05-17,825,NA,NA,NA,825,NA,NA,NA
2020-05-24,913,NA,NA,NA,913,NA,NA,NA
2020-05-31,986,NA,NA,NA,986,NA,NA,NA
2020-06-07,1038,NA,NA,NA,1038,NA,NA,NA
2020-06-14,1057,NA,NA,NA,1057,NA,NA,NA
2020-06-21,1071,NA,NA,NA,1071,NA,NA,NA
2020-06-28,1078,NA,NA,NA,1078,NA,NA,NA
2020-07-05,1085,NA,NA,NA,1085,NA,NA,NA
2020-07-12,1090,NA,NA,NA,1090,NA,NA,NA
2020-07-19,1092,NA,NA,NA,1092,NA,NA,NA
2020-08-02,1093,NA,NA,NA,1093,NA,NA,NA
2020-08-09,1097,NA,NA,NA,1097,NA,NA,NA
2020-08-23,1098,NA,NA,NA,1098,NA,NA,NA
2020-08-30,1100,NA,NA,NA,1100,NA,NA,NA
2020-09-20,1101,NA,NA,NA,1101,NA,NA,NA
2020-09-27,1103,NA,NA,NA,1103,NA,NA,NA
2020-10-04,1104,NA,NA,NA,1104,NA,NA,NA
2020-10-11,1104,NA,NA,NA,1104,NA,NA,NA
2020-10-18,1104,NA,NA,NA,1104,NA,NA,NA
2020-10-25,1104,NA,NA,NA,1104,NA,NA,NA
2020-11-01,1105,NA,NA,NA,1105,NA,NA,NA
2020-11-08,1108,NA,NA,NA,1108,NA,NA,NA
2020-11-15,1109,NA,NA,NA,1109,NA,NA,NA
2020-11-22,1109,NA,NA,NA,1109,NA,NA,NA
2020-11-29,1110,NA,NA,NA,1110,NA,NA,NA
2020-12-06,1110,1110,1110,1127,1112,1112,1112,1112
2020-12-13,NA,1111,1111,1131,NA,1112,1112,1113
